internal phrase,,,,,,,,,,
14/Nov/11 to 20/Nov/11,,,,,,,,,,
"  Subsite [directgov central] ",,,,,,,,,,
internal phrase,,,,,,,,,,
#,Search Term,Number of Searches,,,,,,,,
4614,budget planner,5,,,,,,,,
4615,severe disablement premium,5,,,,,,,,
4616,budget loan forms,5,,,,,,,,
4617,winter fuel payment form,5,,,,,,,,
4618,renewing a passport,5,,,,,,,,
4619,school holidays 2012,5,,,,,,,,
4620,d47p form,5,,,,,,,,
4621,in work calculation,5,,,,,,,,
4622,in work benefits,5,,,,,,,,
4623,Fuel Direct,5,,,,,,,,
4624,maintenance grants,5,,,,,,,,
4625,maintenance grant form,5,,,,,,,,
4626,bereavement grant,5,,,,,,,,
4627,solicitor,5,,,,,,,,
4628,bereavment allowance,5,,,,,,,,
4629,fuel allowens,5,,,,,,,,
4630,bereavment benefit,5,,,,,,,,
4631,supporting documents,5,,,,,,,,
4632,lost counterpart driving licence,5,,,,,,,,
4633,search,5,,,,,,,,
4634,torquay,5,,,,,,,,
4635,foreign office,5,,,,,,,,
4636,school leavers,5,,,,,,,,
4637,telephone number for budgeting loan,5,,,,,,,,
4638,lost drivers license,5,,,,,,,,
4639,lost driving,5,,,,,,,,
4640,designer,5,,,,,,,,
4641,brma,5,,,,,,,,
4642,ombudsman,5,,,,,,,,
4643,worki,5,,,,,,,,
4644,total loss,5,,,,,,,,
4645,spa,5,,,,,,,,
4646,british nationality,5,,,,,,,,
4647,derby,5,,,,,,,,
4648,dance,5,,,,,,,,
4649,telephone number for dvla,5,,,,,,,,
4650,implied terms,5,,,,,,,,
4651,big society,5,,,,,,,,
4652,bike,5,,,,,,,,
4653,maidstone,5,,,,,,,,
4654,chef jobs,5,,,,,,,,
4655,bike tax,5,,,,,,,,
4656,variations,5,,,,,,,,
4657,welfare to work,5,,,,,,,,
4658,working overseas,5,,,,,,,,
4659,lost my driving licence,5,,,,,,,,
4660,state pension online,5,,,,,,,,
4661,freehold,5,,,,,,,,
4662,form 121,5,,,,,,,,
4663,nursery school,5,,,,,,,,
4664,data entry,5,,,,,,,,
4665,bridging loan,5,,,,,,,,
4666,data entry work,5,,,,,,,,
4667,posting a job,5,,,,,,,,
4668,where to send forms,5,,,,,,,,
4669,WELFARE RIGHTS,5,,,,,,,,
4670,renewal of driving license,5,,,,,,,,
4671,immigration control,5,,,,,,,,
4672,birmingham airport,5,,,,,,,,
4673,form bd8,5,,,,,,,,
4674,immigrants,5,,,,,,,,
4675,form c2,5,,,,,,,,
4676,free theory test,5,,,,,,,,
4677,old cars,5,,,,,,,,
4678,free solar panels,5,,,,,,,,
4679,lost paper part of licence,5,,,,,,,,
4680,breaking distances,5,,,,,,,,
4681,form d777b,5,,,,,,,,
4682,birth register,5,,,,,,,,
4683,department for education,5,,,,,,,,
4684,nursing jobs,5,,,,,,,,
4685,david cameron,5,,,,,,,,
4686,employee benefits,5,,,,,,,,
4687,free road tax,5,,,,,,,,
4688,form ex50,5,,,,,,,,
4689,civil ceremony,5,,,,,,,,
4690,warm home scheme,5,,,,,,,,
4691,school vacancies,5,,,,,,,,
4692,braille,5,,,,,,,,
4693,removing penalty points,5,,,,,,,,
4694,DENTAL NURSE,5,,,,,,,,
4695,dental fees,5,,,,,,,,
4696,renewal 70,5,,,,,,,,
4697,lost registration certificate,5,,,,,,,,
4698,BR19 FORM,5,,,,,,,,
4699,hgv license,5,,,,,,,,
4700,lost tax disk,5,,,,,,,,
4701,a level,5,,,,,,,,
4702,demotion,5,,,,,,,,
4703,lost theory test,5,,,,,,,,
4704,de,5,,,,,,,,
4705,changes to theory test,5,,,,,,,,
4706,blue badge holders,5,,,,,,,,
4707,scrapped vehicle,5,,,,,,,,
4708,blue badge renewal,5,,,,,,,,
4709,employee handbook,5,,,,,,,,
4710,ill,5,,,,,,,,
4711,changes to tax credits,5,,,,,,,,
4712,offshore,5,,,,,,,,
4713,paternaty leave,5,,,,,,,,
4714,ilf,5,,,,,,,,
4715,south west,5,,,,,,,,
4716,form r85,5,,,,,,,,
4717,form s1,5,,,,,,,,
4718,bmd,5,,,,,,,,
4719,polish,5,,,,,,,,
4720,iht400,5,,,,,,,,
4721,telephone preference,5,,,,,,,,
4722,civil partnerships,5,,,,,,,,
4723,renew blue badge,5,,,,,,,,
4724,post office card account,5,,,,,,,,
4725,renew provisional licence,5,,,,,,,,
4726,supermarkets,5,,,,,,,,
4727,translator,5,,,,,,,,
4728,horn,5,,,,,,,,
4729,death grants,5,,,,,,,,
4730,free dental care,5,,,,,,,,
4731,office skills,5,,,,,,,,
4732,renew photocard licence,5,,,,,,,,
4733,boiler scrappage scheme,5,,,,,,,,
4734,pollution,5,,,,,,,,
4735,scrap car,5,,,,,,,,
4736,bollards,5,,,,,,,,
4737,free computers,5,,,,,,,,
4738,free childcare,5,,,,,,,,
4739,bond,5,,,,,,,,
4740,bonds,5,,,,,,,,
4741,obs,5,,,,,,,,
4742,tem,5,,,,,,,,
4743,post graduate,5,,,,,,,,
4744,idp,5,,,,,,,,
4745,booking driving theory test,5,,,,,,,,
4746,what is the national minimum wage,5,,,,,,,,
4747,office assistant,5,,,,,,,,
4748,vat number,5,,,,,,,,
4749,debt help,5,,,,,,,,
4750,booking a test,5,,,,,,,,
4751,Employee rights,5,,,,,,,,
4752,tr,5,,,,,,,,
4753,Booking a driving test,5,,,,,,,,
4754,renew expired driving licence,5,,,,,,,,
4755,renew expired licence,5,,,,,,,,
4756,statepension,5,,,,,,,,
4757,bookin,5,,,,,,,,
4758,deductions from wages,5,,,,,,,,
4759,supply of goods act,5,,,,,,,,
4760,television,5,,,,,,,,
4761,offence codes,5,,,,,,,,
4762,drving test,5,,,,,,,,
4763,television licence,5,,,,,,,,
4764,porter,5,,,,,,,,
4765,working when pregnant,5,,,,,,,,
4766,book my driving test,5,,,,,,,,
4767,book theroy test,5,,,,,,,,
4768,declaration of voluntary surrender,5,,,,,,,,
4769,shropshire,5,,,,,,,,
4770,decorating,5,,,,,,,,
4771,welding jobs,5,,,,,,,,
4772,renew my driving licence,5,,,,,,,,
4773,off road,5,,,,,,,,
4774,book pratical test,5,,,,,,,,
4775,severance pay,5,,,,,,,,
4776,cla,5,,,,,,,,
4777,severance,5,,,,,,,,
4778,changes to child benefit,5,,,,,,,,
4779,retail sales,5,,,,,,,,
4780,claim back tax,5,,,,,,,,
4781,part-time,5,,,,,,,,
4782,state pension forecast form,5,,,,,,,,
4783,keep warm,5,,,,,,,,
4784,theory test center,5,,,,,,,,
4785,drug,5,,,,,,,,
4786,changeof address,5,,,,,,,,
4787,claim esa,5,,,,,,,,
4788,job share,5,,,,,,,,
4789,dropped kerbs,5,,,,,,,,
4790,dropped kerb,5,,,,,,,,
4791,change your test,5,,,,,,,,
4792,prov,5,,,,,,,,
4793,TAX EXEMPT,5,,,,,,,,
4794,working family tax,5,,,,,,,,
4795,unsocial hours,5,,,,,,,,
4796,work place regulations,5,,,,,,,,
4797,the highway code,5,,,,,,,,
4798,employer help line,5,,,,,,,,
4799,child employment,5,,,,,,,,
4800,staying safe on the internet,5,,,,,,,,
4801,job seekers interview,5,,,,,,,,
4802,public liability,5,,,,,,,,
4803,working tax credit form,5,,,,,,,,
4804,driving without insurance,5,,,,,,,,
4805,academies,5,,,,,,,,
4806,claim job seekers,5,,,,,,,,
4807,driving without a licence,5,,,,,,,,
4808,update photo,5,,,,,,,,
4809,access course,5,,,,,,,,
4810,employer responsibilities,5,,,,,,,,
4811,job seekers application form,5,,,,,,,,
4812,ret,5,,,,,,,,
4813,house,5,,,,,,,,
4814,mortgage assistance,5,,,,,,,,
4815,house history,5,,,,,,,,
4816,claiming,5,,,,,,,,
4817,driving theory tests,5,,,,,,,,
4818,restructuring,5,,,,,,,,
4819,key workers,5,,,,,,,,
4820,hgv drivers card,5,,,,,,,,
4821,missed appointment,5,,,,,,,,
4822,tax forms,5,,,,,,,,
4823,working benefits,5,,,,,,,,
4824,working bank holidays,5,,,,,,,,
4825,radon,5,,,,,,,,
4826,rail card,5,,,,,,,,
4827,driving test times,5,,,,,,,,
4828,motability allowance,5,,,,,,,,
4829,tax free allowance,5,,,,,,,,
4830,my pension,5,,,,,,,,
4831,travel pass,5,,,,,,,,
4832,houseing benefit,5,,,,,,,,
4833,statuatory maternity pay,5,,,,,,,,
4834,houseing benifit,5,,,,,,,,
4835,part time holiday entitlement,5,,,,,,,,
4836,child maintance,5,,,,,,,,
4837,vehicle type approval,5,,,,,,,,
4838,claiming income support,5,,,,,,,,
4839,job seeker's allowance,5,,,,,,,,
4840,what benefits,5,,,,,,,,
4841,change of details,5,,,,,,,,
4842,claiming job seekers allowance,5,,,,,,,,
4843,part time employment,5,,,,,,,,
4844,jobs search,5,,,,,,,,
4845,minmum wage,5,,,,,,,,
4846,warning signs,5,,,,,,,,
4847,housing and council tax benefit,5,,,,,,,,
4848,child maintenance calculator,5,,,,,,,,
4849,shares,5,,,,,,,,
4850,employment act 2008,5,,,,,,,,
4851,change of bank,5,,,,,,,,
4852,sick pay self employed,5,,,,,,,,
4853,jobseekers allowance rates,5,,,,,,,,
4854,housing association,5,,,,,,,,
4855,healthy,5,,,,,,,,
4856,housing benefir,5,,,,,,,,
4857,utility,5,,,,,,,,
4858,n i number,5,,,,,,,,
4859,change of address on driving license,5,,,,,,,,
4860,Chief executive,5,,,,,,,,
4861,pub,5,,,,,,,,
4862,health visitors,5,,,,,,,,
4863,rmn,5,,,,,,,,
4864,job seach,5,,,,,,,,
4865,n1 claim form,5,,,,,,,,
4866,change of addres,5,,,,,,,,
4867,knife crime,5,,,,,,,,
4868,warrant,5,,,,,,,,
4869,rest break,5,,,,,,,,
4870,child maintence,5,,,,,,,,
4871,health insurance,5,,,,,,,,
4872,housing benefit forms,5,,,,,,,,
4873,health in pregnancy,5,,,,,,,,
4874,change my name,5,,,,,,,,
4875,e-mail,5,,,,,,,,
4876,job offer,5,,,,,,,,
4877,tax my car online,5,,,,,,,,
4878,classroom assistant,5,,,,,,,,
4879,minimum wage rates,5,,,,,,,,
4880,clean,5,,,,,,,,
4881,minimum wage increase,5,,,,,,,,
4882,jobs in hull,5,,,,,,,,
4883,cleaner leicester,5,,,,,,,,
4884,na,5,,,,,,,,
4885,vehicle tax rates,5,,,,,,,,
4886,proof of id,5,,,,,,,,
4887,road fund licence refund,5,,,,,,,,
4888,housing benifet,5,,,,,,,,
4889,l plates,5,,,,,,,,
4890,housing benifit calculator,5,,,,,,,,
4891,pch/43726,5,,,,,,,,
4892,change driving licence address,5,,,,,,,,
4893,parkinsons,5,,,,,,,,
4894,respite,5,,,,,,,,
4895,driving licence photo,5,,,,,,,,
4896,proof of age card,5,,,,,,,,
4897,theory test price,5,,,,,,,,
4898,stockport,5,,,,,,,,
4899,tattoo,5,,,,,,,,
4900,change booking,5,,,,,,,,
4901,mot certificate,5,,,,,,,,
4902,driving licence fees,5,,,,,,,,
4903,rates of dla,5,,,,,,,,
4904,theory test questions,5,,,,,,,,
4905,travel card,5,,,,,,,,
4906,tribunal service,5,,,,,,,,
4907,ecm,5,,,,,,,,
4908,pcv licence,5,,,,,,,,
4909,works and pensions,5,,,,,,,,
4910,pcv theory,5,,,,,,,,
4911,pcv theory test,5,,,,,,,,
4912,change address on provisional,5,,,,,,,,
4913,change address on logbook,5,,,,,,,,
4914,wirral,5,,,,,,,,
4915,driving licence categories,5,,,,,,,,
4916,child poverty,5,,,,,,,,
4917,V,5,,,,,,,,
4918,"""provisional license""",5,,,,,,,,
4919,stoke on trent,5,,,,,,,,
4920,hm revenue and customs,5,,,,,,,,
4921,vehicle tax check,5,,,,,,,,
4922,sentencing,5,,,,,,,,
4923,minimum pay,5,,,,,,,,
4924,transfer registration number,5,,,,,,,,
4925,lancaster,5,,,,,,,,
4926,PDI,5,,,,,,,,
4927,natio,5,,,,,,,,
4928,travel time,5,,,,,,,,
4929,resigning,5,,,,,,,,
4930,stolen driving licence,5,,,,,,,,
4931,enduring power,5,,,,,,,,
4932,child protection policy,5,,,,,,,,
4933,enduring powers of attorney,5,,,,,,,,
4934,health & safety at work,5,,,,,,,,
4935,e303,5,,,,,,,,
4936,National curriculum,5,,,,,,,,
4937,advanced driving test,5,,,,,,,,
4938,parking enforcement,5,,,,,,,,
4939,energy grant,5,,,,,,,,
4940,landlord tax,5,,,,,,,,
4941,job centre opening times,5,,,,,,,,
4942,job centre online application form,5,,,,,,,,
4943,code of conduct,5,,,,,,,,
4944,residential training,5,,,,,,,,
4945,jobs in glasgow,5,,,,,,,,
4946,stolen tax disc,5,,,,,,,,
4947,hea,5,,,,,,,,
4948,job centre locations,5,,,,,,,,
4949,driving examiners,5,,,,,,,,
4950,road tax prices,5,,,,,,,,
4951,he,5,,,,,,,,
4952,laptop,5,,,,,,,,
4953,road tax renewal,5,,,,,,,,
4954,driving convictions,5,,,,,,,,
4955,driving codes,5,,,,,,,,
4956,engineering machinist,5,,,,,,,,
4957,cold weather  payments,5,,,,,,,,
4958,lasting,5,,,,,,,,
4959,lasting power,5,,,,,,,,
4960,theary test,5,,,,,,,,
4961,vehicle scrapped,5,,,,,,,,
4962,residential care,5,,,,,,,,
4963,theroy,5,,,,,,,,
4964,trooper armed forces,5,,,,,,,,
4965,starting business,5,,,,,,,,
4966,enhanced disclosure,5,,,,,,,,
4967,cold wether payments,5,,,,,,,,
4968,V10 form,5,,,,,,,,
4969,park homes,5,,,,,,,,
4970,resident permit,5,,,,,,,,
4971,parish councils,5,,,,,,,,
4972,job centre application forms,5,,,,,,,,
4973,pension 2012,5,,,,,,,,
4974,starting a job,5,,,,,,,,
4975,v11 form,5,,,,,,,,
4976,central heating,5,,,,,,,,
4977,national insurance no,5,,,,,,,,
4978,www.jobsite.co.uk,5,,,,,,,,
4979,rochdale,5,,,,,,,,
4980,travel and trousm,5,,,,,,,,
4981,jobseekers interview,5,,,,,,,,
4982,residence permit,5,,,,,,,,
4983,National Insurance numbers,5,,,,,,,,
4984,parents rights,5,,,,,,,,
4985,signing off jobseekers,5,,,,,,,,
4986,work placement,5,,,,,,,,
4987,Drivers Licence,5,,,,,,,,
4988,child support calculator,5,,,,,,,,
4989,national insurence,5,,,,,,,,
4990,common assessment framework,5,,,,,,,,
4991,agency work,5,,,,,,,,
4992,lawyer,5,,,,,,,,
4993,lay,5,,,,,,,,
4994,communicating care grant,5,,,,,,,,
4995,zero hour contracts,5,,,,,,,,
4996,motor caravan,5,,,,,,,,
4997,mileage rates,5,,,,,,,,
4998,agricultural vehicles,5,,,,,,,,
4999,sfe/pff2/1112,5,,,,,,,,
5000,national minimum wage act,5,,,,,,,,
,,"146,247",,,,,,,,
