Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,net_amount
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,159.63
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,282.24
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,47.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,200
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,47.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,371.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,40.32
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,36.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,40.32
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,36.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,128.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
