Section 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1, Global communications revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Select Mobile Behaviours in Japan, United States and Europe, June 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Japan ,USA ,Europe ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Used connected media (Browsed, Accessed Applications or Downloaded Content)  ",75.20%,43.70%,38.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Used browser ,59.30%,34.00%,25.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Used application ,42.30%,31.10%,24.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watched TV and/or video on mobile phone  ,22.00%,4.80%,5.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: comScore MobiLens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Europe denotes EU5 (UK, DE, FR, ES and IT) June 2010 Total Mobile Audience Age 13+ (http://www.comscore.com/Press_Events/Press_Releases/2010/10/comScore_Release_First_Comparative_Report_on_Mobile_Usage_in_Japan_United_States_and_Europe)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile internet advertising expenditure per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Internet advertising in:,2005,2006,2007,2008,2009,CAGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,0.06,0.12,0.28,0.55,1.14,106.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,0.03,0.04,0.08,0.15,0.33,81.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,0.03,0.06,0.11,0.19,0.27,72.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,0.03,0.04,0.2,0.46,0.52,98.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,0,0.12,0.26,0.55,0.86,92.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,0,0.08,0.17,0.37,0.59,94.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,0.03,0.06,0.12,0.21,0.33,79.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,1.01,1.55,2.25,4.49,5.57,53.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,0,0.01,0.06,0.11,0.25,156.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,0.04,0.12,0.23,0.42,0.84,115.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,0.07,0.07,0.21,0.42,0.92,89.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,0,0,0,0.14,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,0,0,0.02,0.05,0.12,164.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: PricewaterhouseCoopers Global Entertainment and Media Outlook: 2010-2014 @ www.pwc.com/outlook.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed broadband connections per 100 households, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2009,5 year change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,25,70,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,26,69,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,18,62,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,20,49,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,32,71,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,49,80,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,39,64,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,19,66,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,24,56,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,45,85,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,31,66,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,9,63,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,7,40,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,5,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,2,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,7,26,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / Industry Data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: this calculation includes business broadband lines, and therefore the figures in the analysis do not equate exactly to household fixed broadband take-up. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile broadband subscribers per 100 households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,0,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,0,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,0,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA*,44,22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,4,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,4,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,4,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,8,20,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,0,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,6,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / Industry Data / Ofcom.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: this calculation includes business broadband lines, and therefore the figures in the analysis do not equate exactly to household fixed broadband take-up.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*USA data are unavailable for 2007 due to a change in the way mobile wireless internet access service connections were reported during 2008.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Take-up of internet access platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Broadband only,Broadband and mobile broadband,Mobile broadband only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,82,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,88,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,66,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,69,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,83,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,84,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 18+ who use the internet (UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3. Which of the following do you have in your home?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global broadband traffic by application category, Q3 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application,Share of Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTTP & HTTPS,27.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Data,0.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email & IM,0.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2P,24.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web-Based and Other File Sharing,18.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaming (PC and Consoles),0.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streaming Video,10.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash Video,7.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streaming Video via P2P,4.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio and Video over HTTP,3.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Video Downloads,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voice & Video Communications,1.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Cisco Visual Network Index Usage Study, Q3, 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(http://www.cisco.com/en/US/solutions/collateral/ns341/ns525/ns537/ns705/Cisco_VNI_Usage_WP.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global consumer broadband consumption by region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,PB,2010 share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,3351,26.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,3179,25.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia Pacific,4416,34.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan ,730,5.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America,482,3.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central & Eastern Europe,447,3.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & Africa ,78,0.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Cisco Visual Networking Index Forecast, June 2nd 2010 (http://www.cisco.com/en/US/solutions/collateral/ns341/ns525/ns537/ns705/ns827/white_paper_c11-481360.pdf)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: PB denotes Petabyte, approximately equal to 1,024 Terrabytes or 1.048 million Gigabytes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global online universe, July 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nation,Active Online Universe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,"39,257,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,"14,553,558",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,"59,512,719",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,"194,832,787.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,"25,048,444.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,"25,731,785.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,"44,948,607.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,"44,935,505.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,"39,119,159.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: The Nielsen Company, Jul 10 (Internet Applications Included, Home & Work).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Nielsen is investigating a decline in its internet use data around duration metrics and the potential impact of this on Unique Audience metrics. Consequently, until these investigations are concluded, Nielsen Internet data for 2010 is likely to represent a lower bound and should be treated as indicative only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unique online audience by gender, August 2008 and August 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK 08,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK 10,51,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA 08,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA 10,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER 10,52,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA 08,44,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA 10,55,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 08,52,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 10,47,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN 10,57,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP 08,45,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP 10,53,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: The Nielsen Company, August 2008 and August 2010, home and work panel, applications included. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unique online audience by age, August 2008 and August 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb-17,18-34,35-64,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK 08,11,29,51,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK 10,12.2,29.2,53.1,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA 08,14,24,55,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA 10,12.4,27,54.3,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER 10,9.4,27.9,55.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA 08,9,29,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA 10,11.5,30.4,53.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 08,20,20,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA 10,16.3,25.3,48.4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP 08,9,36,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP 10,13,35.8,48.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: The Nielsen Company, August 2008 and August 2010, home and work panel, applications included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Nielsen is investigating a decline in its Internet use data around duration metrics and the potential impact of this on Unique Audience metrics. Consequently, until these investigations are concluded, Nielsen Internet data for 2010 is likely to represent a lower bound and should be treated as indicative only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Unique online audience by age and gender, August 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Feb-17,18-34,35-64,65+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,M,12,27,54,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,13,32,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,M,13,23,55,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,12,31,53,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,M,9,24,58,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,10,32,54,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,M,11,27,56,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,12,34,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,M,17,26,47,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,15,25,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,M,13,33,50,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,F,13,39,46,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: The Nielsen Company, August 2010, home and work panel, applications included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Nielsen is investigating a decline in its Internet use data around duration metrics and the potential impact of this on Unique Audience metrics. Consequently, until these investigations are concluded, Nielsen Internet data for 2010 is likely to represent a lower bound and should be treated as indicative only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devices used to access the internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Desktop,Laptop,Tablet,Mobile phone,Games console,Portable media player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,58,69,3,29,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,68,61,2,26,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,68,62,2,18,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,63,72,3,23,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,74,59,3,27,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,60,48,4,43,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 18+ who use the internet (UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q8. Which of the following devices do you use to access the internet at home (e.g. visiting web sites, emailing, online gaming, downloading files)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devices used to access the internet by age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18-24,25-34,35-44,45-54,55-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,UK,40,53,60,69,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRA,57,61,73,76,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GER,53,58,71,81,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITA,63,55,63,72,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,59,68,72,83,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JPN,56,54,62,70,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop,UK,83,73,70,64,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FRA,75,63,57,52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GER,69,69,60,59,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ITA,73,78,68,68,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USA,65,66,62,46,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JPN,47,48,51,47,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 18+ who use the internet (UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q8. Which of the following devices do you use to access the internet at home (e.g. visiting web sites, emailing, online gaming, downloading files)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 10 website brands by share of unique audience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Google -,Google -,Google -,Google -,Google -,Yahoo! -,Google -,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MSN/WindowsLive/Bing - ,MSN/WindowsLive/Bing -,eBay +1,Facebook (new),Yahoo! -,Google -,MSN/WindowsLive/Bing -,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Facebook +4,Facebook (new),Microsoft -1,MSN/WindowsLive/Bing -1,Facebook (new),FC2 +5,Facebook (new),,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Yahoo! -,Microsoft -1,MSN/WindowsLive/Bing +1,YouTube +4,MSN/WindowsLive/Bing -1,Rakuten -1,YouTube +1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BBC -2,Orange -1,YouTube +5,Virgilio -1,YouTube +1,Microsoft +1,Microsoft -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,eBay -,YouTube (new),Wikipedia -,Yahoo! -1,Microsoft -2,Wikipedia +3,Yahoo! -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,YouTube +1,Yahoo! -1,Amazon -,Microsoft -4,AOL Media Network -2,goo (new),Blogger -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Microsoft -3,Free -3,T-Online -,Libero -2,Apple +2,YouTube (new),Wikipedia -,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Amazon -,PagesJaunes -1,Facebook (new),Wikipedia -,Ask Search Network (new),"""@nifty"" (new)",Terra -2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Wikipedia (new),Wikipedia (new),RTL Network (new),Blogger (new),Wikipedia -1,Ameba (new),Orange -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: The Nielsen Company, August 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: includes all internet applications. ‘+’ or ‘-‘ denotes change in rank since 2008 ICMR publication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most searched terms on Google in last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country ,1ST ,2ND ,3RD ,Largest increase ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,facebook,bbc ,youtube,4od,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
