Data is Unweighted,,,Q5,,,,,,,,,,,,,,,,,,Q6,,,,,,,,,,,,,,,,,,,,,,,,Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"For each of the statements below, how often do you feel this way about your job?",,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your job?,,,,,,,,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: job design and work pressure, and being respected and valued at work",,,a) I look forward to going to work,,,,,,b) I am enthusiastic about my job,,,,,,c) Time passes quickly when I am working ,,,,,,"a) I have clear, planned goals and objectives for my job",,,,,,b) I always know what my work responsibilities are,,,,,,c) I am trusted to do my job,,,,,,d) I am able to do my job to a standard I am personally pleased with,,,,,,a) There are frequent opportunities for me to show initiative in my role,,,,,,b) I am able to make suggestions to improve the work of my team / department,,,,,,c) I am involved in deciding on changes introduced that affect my work area / team / department,,,,,,d) I am able to make improvements happen in my area of work,,,,,,e) I am unable to meet all the conflicting demands on my time at work,,,,,,"f) I have adequate materials, supplies and equipment to do my work",,,,,,g) There are enough staff at this organisation for me to do my job properly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other White staff,--,4,11,30,39,16,"2,246",2,8,22,41,29,"2,246",2,5,15,40,39,"2,243",2,6,17,56,19,"2,249",1,6,8,54,31,"2,250",1,3,6,51,40,"2,245",2,9,11,47,31,"2,242",3,12,20,52,14,"2,244",3,8,17,57,14,"2,250",10,20,25,36,10,"2,246",6,14,29,41,10,"2,242",4,23,33,30,10,"2,217",6,18,18,47,10,"2,241",19,28,19,29,5,"2,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Black or Black British staff,--,2,8,32,33,25,"2,456",1,4,23,29,43,"2,436",1,3,26,30,40,"2,437",2,3,13,55,27,"2,442",2,2,5,52,39,"2,451",2,2,7,45,44,"2,450",2,6,7,42,44,"2,447",3,10,21,47,20,"2,428",3,8,19,53,17,"2,441",7,20,27,35,12,"2,426",4,13,27,42,14,"2,415",6,23,31,32,8,"2,405",5,11,17,51,16,"2,439",13,26,25,30,6,"2,439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Black Caribbean staff,--,4,11,39,27,19,773,2,6,34,32,26,767,2,7,26,31,34,768,3,8,19,53,18,767,3,2,8,59,28,774,3,2,7,50,38,771,3,7,12,41,37,774,3,14,23,40,20,768,3,10,21,48,18,774,8,23,22,34,12,768,6,18,31,35,11,763,4,21,29,35,11,763,7,20,20,42,11,774,19,25,23,28,6,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Black African staff,--,2,6,28,35,29,"1,554",1,3,19,29,49,"1,540",1,2,25,30,42,"1,541",1,3,11,54,30,"1,546",2,2,5,47,43,"1,548",1,2,7,44,46,"1,549",1,5,6,40,48,"1,546",3,8,19,49,22,"1,531",2,8,19,51,19,"1,539",5,19,28,35,13,"1,530",3,11,27,44,15,"1,525",6,24,31,30,9,"1,516",3,9,17,53,18,"1,538",11,27,26,28,7,"1,537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other Black background staff,--,5,12,31,27,24,129,5,4,30,22,40,129,6,4,28,28,33,128,6,5,19,55,16,129,3,2,8,59,29,129,3,2,6,49,40,130,2,3,11,46,38,127,9,6,27,51,8,129,8,10,21,57,4,128,16,29,25,26,5,128,9,14,33,37,6,127,7,24,31,32,7,126,11,10,19,47,13,127,25,21,19,32,4,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Asian or Asian British staff,--,2,5,22,35,36,"4,956",1,3,15,31,49,"4,940",1,2,13,29,55,"4,957",1,3,11,54,31,"4,986",1,2,5,48,44,"5,002",1,1,4,43,52,"4,994",1,3,6,42,48,"4,978",2,8,19,53,18,"4,986",3,7,19,53,18,"4,985",6,15,28,40,12,"4,975",4,10,26,47,13,"4,968",5,23,33,31,7,"4,903",4,12,19,52,13,"4,962",14,24,24,31,7,"4,961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Indian staff,--,2,4,18,36,40,"2,581",2,3,13,31,52,"2,575",1,2,11,27,59,"2,582",1,3,12,54,30,"2,590",1,2,4,49,44,"2,601",1,1,4,43,52,"2,599",1,4,6,42,47,"2,583",2,9,19,52,18,"2,593",2,8,19,53,18,"2,594",6,15,28,39,13,"2,586",5,10,25,48,13,"2,582",4,22,34,32,8,"2,541",4,13,18,51,13,"2,579",14,26,22,32,7,"2,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Pakistani staff,--,2,6,16,41,36,504,1,4,12,32,52,502,1,2,13,28,56,504,1,4,12,53,29,504,0,2,6,50,41,504,0,0,5,44,50,504,1,4,6,45,44,503,3,10,19,50,18,504,4,7,19,48,23,504,7,19,23,39,12,501,5,13,24,45,13,501,5,27,32,30,6,495,4,11,18,54,13,505,14,21,21,35,9,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Bangladeshi staff,--,3,7,33,33,25,107,0,4,26,28,42,107,3,5,20,31,41,108,1,7,16,49,27,108,1,5,11,44,40,108,2,2,4,37,54,108,1,4,9,32,54,108,2,11,27,47,13,107,5,3,24,54,14,107,11,15,31,35,8,108,7,10,33,35,14,107,6,25,28,34,6,106,2,20,20,44,13,106,20,18,26,33,3,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other Asian background staff,--,2,7,26,34,31,"1,764",1,4,20,30,45,"1,756",1,4,15,30,50,"1,763",1,4,10,55,30,"1,784",1,2,5,49,44,"1,789",1,1,3,45,51,"1,783",1,3,5,42,49,"1,784",2,6,22,52,18,"1,782",4,6,22,53,15,"1,780",6,14,30,39,11,"1,780",4,11,29,44,12,"1,778",5,26,31,32,6,"1,761",3,12,21,52,12,"1,772",15,25,27,28,6,"1,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Mixed background staff,--,4,11,31,36,17,716,3,5,23,34,35,715,4,4,20,32,41,716,2,6,14,54,24,715,2,6,7,48,37,717,2,2,7,46,43,719,5,7,11,42,36,717,4,10,18,49,20,718,4,11,15,49,22,719,11,21,22,31,14,717,8,14,26,37,15,718,6,27,27,29,11,715,6,18,18,44,14,719,23,26,20,22,8,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Black Caribbean staff,--,6,12,28,40,14,153,5,8,19,33,36,153,6,4,27,26,37,153,4,11,13,54,18,152,4,8,7,47,34,153,2,2,11,42,42,153,8,8,9,39,37,152,6,9,21,44,20,152,5,12,17,46,20,153,13,24,22,29,12,153,8,17,28,36,10,153,5,22,35,26,12,153,10,15,14,50,10,152,24,29,23,18,6,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Black African staff,--,4,16,29,28,23,98,3,4,33,26,33,98,4,6,18,36,37,96,3,6,9,49,33,97,2,4,7,46,40,99,1,4,4,40,50,99,6,4,11,41,37,98,3,8,25,42,21,98,3,10,15,41,31,99,15,21,17,28,19,98,10,18,24,32,16,98,7,22,31,33,7,98,4,15,18,41,21,99,27,22,19,19,13,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Asian staff,--,4,13,35,31,17,192,1,6,23,38,33,190,4,2,15,31,48,192,3,6,13,59,19,192,2,6,10,46,36,192,3,2,6,45,44,192,4,6,10,45,34,193,3,12,14,50,21,193,6,13,11,51,19,193,9,23,21,33,15,192,8,16,25,40,12,193,5,25,22,31,17,191,9,19,16,41,14,192,24,29,18,21,9,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other mixed background staff,--,6,7,32,39,16,273,3,4,23,38,32,274,2,4,20,37,38,275,1,6,16,53,25,274,1,5,8,48,38,273,2,1,6,46,45,275,2,7,13,43,35,274,4,7,16,54,19,275,5,7,15,53,20,274,10,16,27,33,14,274,8,11,28,38,15,274,9,28,23,28,11,273,5,21,20,39,14,276,19,29,22,25,5,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Chinese staff,--,2,9,32,40,17,385,1,5,24,41,29,387,1,2,21,35,42,388,1,5,11,63,21,386,1,3,4,61,32,389,1,2,4,55,38,387,1,5,11,45,37,387,1,11,16,56,16,389,1,10,21,54,14,389,5,15,33,38,9,387,4,13,31,40,12,386,2,20,41,28,9,384,5,16,20,52,6,388,19,20,27,30,4,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other ethnic groups,--,2,7,24,36,31,636,2,3,19,31,44,637,2,3,16,33,47,633,4,3,12,53,28,642,3,3,3,47,44,644,2,1,3,44,50,642,3,3,6,39,48,641,3,10,19,50,17,638,4,8,15,57,16,643,8,17,22,41,12,642,5,15,21,46,13,641,6,28,30,31,6,632,3,14,18,55,11,637,16,26,26,26,6,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Heterosexual (straight) staff,--,4,11,33,37,16,"57,051",2,5,24,37,32,"56,941",2,4,19,35,41,"56,975",2,7,17,55,19,"57,054",1,5,7,55,31,"57,167",1,2,5,50,42,"57,140",2,8,9,47,34,"57,051",2,10,18,51,19,"57,023",3,8,15,55,20,"57,080",7,18,23,38,14,"57,003",5,15,26,41,13,"56,897",4,24,29,31,11,"56,676",6,19,19,47,9,"56,955",17,30,22,26,5,"56,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Gay Male staff,--,6,10,31,37,16,572,3,6,23,42,26,571,3,8,21,38,30,571,4,8,15,53,20,571,3,7,9,54,28,572,1,3,8,45,43,572,4,9,9,44,34,570,4,12,16,43,25,572,3,6,15,49,26,572,9,20,15,36,20,569,7,15,21,37,19,570,6,25,27,29,13,568,7,20,21,41,10,568,23,28,20,23,6,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Gay Female staff,--,3,12,38,34,13,374,1,4,31,33,31,374,2,5,23,34,37,375,1,9,19,54,17,375,1,7,9,51,32,373,1,2,5,49,43,374,6,8,11,43,33,373,6,9,16,48,21,375,4,9,14,49,24,375,8,20,21,34,17,375,5,18,24,37,17,375,6,22,26,33,13,375,5,20,21,42,11,374,24,30,17,21,9,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Bisexual staff,--,6,12,28,32,22,321,2,8,26,29,35,323,4,5,23,29,39,320,3,7,12,54,25,323,1,7,9,48,35,324,3,4,6,46,42,322,5,8,8,42,36,319,4,13,19,49,16,320,3,8,19,51,19,321,11,21,27,30,11,321,6,16,28,35,15,320,2,28,26,30,14,315,7,16,17,44,16,320,18,31,17,24,9,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other sexuality,--,4,8,26,28,33,251,4,8,18,28,43,246,2,3,25,19,51,248,2,6,14,57,22,249,2,2,6,49,40,254,4,1,5,47,43,252,3,6,3,43,45,252,3,11,17,56,13,251,6,9,16,55,15,251,9,19,25,38,10,250,8,16,25,40,11,249,7,22,25,36,10,247,5,14,18,52,11,251,17,18,26,32,7,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,I would prefer not to say,--,5,14,34,30,17,"3,420",3,8,29,33,28,"3,416",3,5,22,32,38,"3,421",3,9,20,51,16,"3,428",2,7,9,54,28,"3,438",2,3,8,50,37,"3,436",4,12,11,44,29,"3,432",4,13,22,47,15,"3,431",4,10,19,53,14,"3,429",11,20,26,34,10,"3,417",7,17,28,38,10,"3,411",5,20,30,32,13,"3,406",9,21,22,41,7,"3,421",22,30,22,21,4,"3,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,No religion,--,5,13,35,35,11,"16,052",2,7,28,38,26,"16,034",2,5,22,37,34,"16,036",2,9,18,55,16,"16,033",1,7,8,56,28,"16,062",1,3,6,50,40,"16,061",3,10,10,47,30,"16,026",3,11,18,50,19,"16,038",3,9,15,54,19,"16,043",8,19,21,37,15,"16,031",5,17,25,40,13,"16,007",4,25,27,32,12,"15,962",7,21,19,45,8,"16,010",19,31,20,26,5,"16,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Christian staff,--,3,10,33,37,17,"38,388",1,5,24,37,33,"38,301",1,3,18,34,43,"38,326",2,6,16,55,20,"38,392",1,5,7,55,32,"38,477",1,2,5,50,43,"38,464",2,8,9,47,34,"38,417",2,9,18,51,19,"38,357",2,8,15,55,20,"38,411",6,18,23,38,15,"38,343",4,14,26,41,14,"38,259",4,24,29,32,11,"38,123",6,18,19,47,10,"38,321",17,31,22,25,5,"38,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Buddhist staff,--,3,9,27,39,23,382,2,3,24,34,36,385,2,4,21,30,44,386,2,7,15,52,23,382,1,8,4,52,35,387,1,3,4,46,46,383,3,9,10,42,36,384,3,11,23,51,11,386,3,7,19,57,13,385,7,19,28,37,9,383,5,13,31,39,11,383,4,25,33,27,11,380,3,18,24,46,9,386,19,26,21,31,3,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Hindu staff,--,3,4,18,35,40,"1,359",2,3,12,31,52,"1,348",2,2,11,28,57,"1,355",1,4,12,55,27,"1,362",1,3,5,52,39,"1,370",2,1,4,48,46,"1,368",1,6,6,44,43,"1,359",3,10,21,51,15,"1,366",2,10,16,56,16,"1,364",7,16,25,40,12,"1,365",5,12,24,47,13,"1,359",4,21,36,29,9,"1,343",6,14,19,51,10,"1,358",15,25,22,32,6,"1,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Jewish staff,--,8,5,33,34,20,207,2,6,24,34,34,206,2,7,17,33,41,206,3,5,19,47,26,205,4,5,10,47,35,206,4,4,5,43,45,207,5,9,9,43,34,205,2,11,12,49,26,207,4,6,13,51,26,204,11,15,23,31,20,205,6,16,25,36,17,206,4,27,24,32,13,205,12,22,20,38,7,204,23,31,17,26,4,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Muslim staff,--,2,7,20,38,33,"1,313",1,3,17,30,49,"1,314",1,3,16,29,50,"1,314",2,5,13,52,28,"1,318",1,3,5,52,39,"1,316",2,1,5,44,49,"1,311",2,4,6,43,44,"1,314",3,11,20,48,17,"1,313",4,7,20,50,19,"1,315",9,19,23,36,12,"1,307",5,16,23,43,13,"1,311",5,25,33,30,8,"1,294",4,11,17,55,13,"1,309",14,22,23,33,8,"1,313",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Sikh staff,--,5,4,23,39,28,357,3,5,18,36,39,357,3,1,17,31,47,356,0,5,20,51,23,354,0,3,8,53,35,356,1,1,3,54,41,355,2,4,8,47,39,350,2,11,25,46,16,353,2,5,24,50,19,352,4,13,32,38,12,349,5,9,33,40,13,350,5,22,29,37,8,349,7,14,18,51,10,348,16,26,20,32,7,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other religion,--,4,11,33,34,18,"1,107",1,8,23,32,35,"1,098",2,6,20,33,38,"1,100",3,7,16,53,20,"1,108",1,7,6,51,35,"1,115",2,2,5,45,46,"1,114",2,9,6,44,39,"1,110",5,11,18,45,20,"1,111",4,10,16,48,21,"1,110",9,20,24,37,11,"1,107",6,14,26,44,10,"1,106",7,23,32,29,9,"1,098",7,17,19,46,10,"1,106",19,28,25,23,4,"1,107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,I would prefer not to say,--,6,16,36,31,12,"2,703",3,9,31,34,24,"2,699",3,6,24,35,33,"2,704",3,10,22,50,14,"2,708",2,7,11,55,25,"2,712",2,3,9,52,34,"2,710",4,12,13,44,28,"2,709",4,14,24,44,14,"2,707",5,10,19,52,14,"2,709",11,21,25,33,9,"2,699",7,18,29,37,9,"2,694",5,20,31,31,13,"2,693",9,21,22,41,6,"2,704",23,30,23,20,4,"2,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BREAKDOWN BY STAFF GROUP: AMBULANCE TRUSTS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,"Allied Health Professionals, Healthcare Scientists and Scientific & Technical staff",--,0,17,13,27,43,24,0,8,21,18,54,24,3,8,28,23,39,24,1,8,9,59,23,24,1,6,8,65,19,24,14,0,3,59,24,24,1,3,6,63,27,24,3,8,29,48,13,23,2,12,20,51,16,23,4,28,21,31,16,23,10,9,24,41,16,23,13,15,40,28,5,23,11,8,27,42,13,23,23,16,29,20,13,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Physiotherapy,--,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Radiography,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Pharmacy,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Clinical Psychology,--,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Arts Therapy,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other qualified Allied Health Professionals,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other qualified Scientific and Technical or Healthcare Scientists,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Support to Allied Health Professionals,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Support to Scientific and Technical or Healthcare Scientists,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Ambulance staff (operational),--,7,17,30,32,13,"2,773",3,10,27,34,27,"2,772",7,11,35,31,16,"2,773",5,13,22,49,11,"2,775",3,8,11,58,19,"2,778",4,7,13,53,24,"2,778",4,11,10,51,24,"2,777",7,17,21,45,10,"2,774",11,21,25,37,7,"2,776",24,33,21,18,3,"2,766",20,31,26,20,4,"2,767",7,23,34,27,9,"2,763",13,23,21,38,6,"2,770",31,32,19,16,2,"2,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Emergency Care Practitioners,--,5,22,40,31,3,108,0,10,23,46,22,108,6,11,36,37,11,108,10,11,35,32,12,107,6,8,19,49,17,106,3,6,12,59,20,106,7,11,9,45,29,106,5,16,15,54,9,108,8,21,12,50,8,108,17,26,32,20,5,107,12,27,27,30,4,108,6,27,30,26,10,108,17,15,20,41,7,108,34,27,20,18,2,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
