Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),ASHFORD TRIAL,ASHFORD BOROUGH COUNCIL,5100001363,"2,190.00",RC - ASHFORD DTC RENT (KENT),TN23 1PL
Department for Transport,Driving Standards Agency,13/06/2013,LGV/PCV Maintenance,CARDINGTON/VOC TRNG,ATS EUROMASTER LTD,5100001209,790.27,#,S98 1AF
Department for Transport,Driving Standards Agency,19/06/2013,Rent - L&B (non-PFI),HQ SITE COSTS,AUBREY WEIS,5100001401,"124,500.00",RC - STANLEY HOUSE RENT,M7 4JL
Department for Transport,Driving Standards Agency,21/06/2013,Rent,BANGOR MPTC,AURORA (BANGOR) LTD,5100001379,"42,000.00",RC - BANGOR MPTC RENT,IM99 1RZ
Department for Transport,Driving Standards Agency,21/06/2013,Rent - L&B (non-PFI),KINGS LYNN MPTC,B  C OF KING'S LYNN AND WEST NORFOL,5100001440,"3,750.00",RC - KING'S LYNN MPTC RENT,PE30 1PX
Department for Transport,Driving Standards Agency,19/06/2013,Rent - L&B (non-PFI),ASHFORD MIDDLESEX,BABA INVESTMENTS LTD,5100001398,"6,750.00",RC - ASHFORD DTC RENT,UB1 2ND
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),PONTYPRIDD,BARBARA J HUMPHEYS,5100001411,"1,037.50",RC - PONTYPRIDD DTC RENT,CF83 2AL
Department for Transport,Driving Standards Agency,07/06/2013,Bank charges,FINANCIAL CONTROL & GOVERNANCE,BARCLAYS MERCHANT,DIRECT DEBIT,"53,173.55",200401 01041180 BARCLAYS MERCH CHG 031189180.4566501O 990385 DRIVING STANDARDS,#
Department for Transport,Driving Standards Agency,07/06/2013,Bank charges,FINANCIAL CONTROL & GOVERNANCE,BARCLAYS MERCHANT,DIRECT DEBIT,"33,136.98",200401 01041180 BARCLAYS MERCH CHG 031175252.3385192O 990385 DRIVING STANDARDS,#
Department for Transport,Driving Standards Agency,07/06/2013,Bank charges,FINANCIAL CONTROL & GOVERNANCE,BARCLAYS MERCHANT,DIRECT DEBIT,"14,049.33",200401 01041180 BARCLAYS MERCH CHG 031136615.0930644C 990385 DRIVING STANDARDS,#
Department for Transport,Driving Standards Agency,07/06/2013,Bank charges,FINANCIAL CONTROL & GOVERNANCE,BARCLAYS MERCHANT,DIRECT DEBIT,"1,068.13",200401 01041180 BARCLAYS MERCH CHG 031175253.3385226O 990385,#
Department for Transport,Driving Standards Agency,07/06/2013,Bank charges,FINANCIAL CONTROL & GOVERNANCE,BARCLAYS MERCHANT,DIRECT DEBIT,713.99,200401 01041180 BARCLAYS MERCH CHG 031168795.2691525O 990385 DRIVING STANDARDS,#
Department for Transport,Driving Standards Agency,20/06/2013,Rent,AYR MPTC,BAROCHAN HEATHFIELD LLP,5100001338,"51,000.00",RC - AYR MPTC RENT,G31 2HR
Department for Transport,Driving Standards Agency,05/06/2013,Business rates,BASILDON MPTC,BASILDON COUNCIL,DIRECT DEBIT,"1,319.00",600239 54244870 BASILDON COUNCIL   01      1700372286 990817,#
Department for Transport,Driving Standards Agency,28/06/2013,Rent - L&B (non-PFI),BASINGSTOKE,BASINGSTOKE & DEANE BOROUGH COUNCIL,5100001557,"1,800.00",RC - BASINGSTOKE DTC RENT,RG21 7EA
Department for Transport,Driving Standards Agency,19/06/2013,Rent - L&B (non-PFI),WEST WICKHAM,BAXTER PHILIPS,5100001354,"3,000.00",RC - WEST WICKHAM DTC RENT,BR1 1QA
Department for Transport,Driving Standards Agency,14/06/2013,Business rates,CARDINGTON,BEDFORD BOROUGH COUNCIL,DIRECT DEBIT,"7,065.00",600213 62288849 BEDFORD BOROUGH CO 1600225237         990788,#
Department for Transport,Driving Standards Agency,18/06/2013,Motorcycle Serv/Repair (Labour),BASILDON MPTC,BELLE VUE MOTORS,5100001450,616.2,#,SS1 2QA
Department for Transport,Driving Standards Agency,20/06/2013,Rent,BASILDON MPTC,BERKLEY ESTATES LONDON LIMITED,5100001423,"72,600.00",RC - BASILDON MPTC RENT,W1U 1QS
Department for Transport,Driving Standards Agency,22/06/2013,Rent,BURTON-ON-TRENT MPTC,BERKLEY ESTATES LONDON LIMITED,5100001417,"40,500.00",RC - BURTON UPON TRENT MPTC RENT,W1U 1QS
Department for Transport,Driving Standards Agency,21/06/2013,Rent - L&B (non-PFI),ISLEWORTH,BEVIS TRADING LTD,5100001405,"10,800.00",RC - ISLEWORTH DTC RENT,GY1 4HW
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,SIDCUP DTC,BEXLEY LONDON BOROOUGH,DIRECT DEBIT,"1,272.00",517014 21101167 BEXLEY LONDON BORO    958062310       852391,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,ERITH MPTC,BEXLEY LONDON BOROUGH,DIRECT DEBIT,"3,216.00",517014 21101167 BEXLEY LONDON BORO    958081919       852391,#
Department for Transport,Driving Standards Agency,22/06/2013,Rent - L&B (non-PFI),WEST DIDSBURY,BHNW (CHRISTIE FIELDS) LTD,5100001416,"8,205.30",RC - WEST DIDSBURY DTC RENT,CH4 9QP
Department for Transport,Driving Standards Agency,07/06/2013,Waste disposal/Refuse,NEWBURY MPTC,BIFFA WASTE SERVICES LIMITED,5100001137,516.89,#,HP12 3TZ
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,BIRMINGHAM SOUTH YARDLEY,BIRMINGHAM CITY COUNCIL,DIRECT DEBIT,762,089001 61314298 BIRMINGHAM CITY CO 6003146692         930084,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,GARRETS GREEN MPTC,BIRMINGHAM CITY COUNCIL,DIRECT DEBIT,"2,520.00",089001 61314298 BIRMINGHAM CITY CO 6004360654         930084,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,SUTTON COLDFIELD,BIRMINGHAM CITY COUNCIL,DIRECT DEBIT,554,089001 61314298 BIRMINGHAM CITY CO 6002934743         930084,#
Department for Transport,Driving Standards Agency,25/06/2013,Rent - L&B (non-PFI),BARNSLEY,BLACK DIAMOND ENTERPRISES LTD,5100001562,"1,562.50",RC - BARNSLEY DTC RENT,S70 1PY
Department for Transport,Driving Standards Agency,14/06/2013,Business rates,BLACKBURN (DARWEN) MPTC,BLACKBURN & DARWEN BOROUGH COUNCIL,DIRECT DEBIT,"1,393.00",161326 10048009 BWD BACS NNDR PYTS 500019223X         852777,#
Department for Transport,Driving Standards Agency,07/06/2013,Motorcycle Fleet Sundries,ENFIELD MPTC,BMW INSURED WARRANTIES,5100001172,"4,177.06",#,CR9 1AJ
Department for Transport,Driving Standards Agency,22/06/2013,Rent - L&B (non-PFI),LEEDS,BOLSTERSTONE (NUMBER SEVEN) LIMITED,5100001410,"4,050.00",RC - LEEDS HAREHILLS DTC RENT,S41 9FG
Department for Transport,Driving Standards Agency,22/06/2013,Rent - L&B (non-PFI),BOLTON DTC,BOLTON MBC,5100001438,"1,537.50",RC - BOLTON DTC RENT,BL1 1RX
Department for Transport,Driving Standards Agency,07/06/2013,Business rates,BOLTON DTC,BOLTON METROPOLITAN BOROUGH,DIRECT DEBIT,954,089018 61009697 BMBC               50300803           973266,#
Department for Transport,Driving Standards Agency,27/06/2013,Business rates,KINGS LYNN MPTC,BOROUGH COUNCIL OF KING'S LYNN & WEST NORFOLK,DIRECT DEBIT,"1,472.00",089014 61521133 BUSINESS RATES     734293X            648499,#
Department for Transport,Driving Standards Agency,05/06/2013,Building Service Charges,GLOUCESTER MPTC,BRABON PROPERTIES LTD,5100001129,750,#,GL54 5DU
Department for Transport,Driving Standards Agency,20/06/2013,Rent,GLOUCESTER MPTC,BRABON PROPERTIES LTD,5100001356,"58,889.10",RC - GLOUCESTER MPTC RENT,GL54 5DU
Department for Transport,Driving Standards Agency,24/06/2013,Business rates,STEETON LGV,BRADFORD METROPOLITAN DISTRICT COUNCIL,DIRECT DEBIT,635,560036 78638453 BRADFORD METROPOLI 33132518           850160,#
Department for Transport,Driving Standards Agency,19/06/2013,Rent - L&B (non-PFI),CANNOCK,BRENDAN LEES DEVELOPMENTS LTD,5100001399,"4,110.00",RC - CANNOCK DTC RENT,WS11 7FL
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,BRENTWOOD DTC,BRENTWOOD BOROUGH COUNCIL,DIRECT DEBIT,883,089004 61073953 BRENTWOOD B.C      1806262            973784,#
Department for Transport,Driving Standards Agency,27/06/2013,Electricity,ABERDEEN MPTC,BRITISH GAS BUSINESS,DIRECT DEBIT,"3,648.68",400530 02206382 BRITISH GAS        A0545089 BGT B2B   941524,#
Department for Transport,Driving Standards Agency,27/06/2013,Electricity,HQ SITE COSTS,BRITISH GAS BUSINESS,DIRECT DEBIT,"1,563.11",400530 02206382 BRITISH GAS        A3666134 BGT B2B   941524,#
Department for Transport,Driving Standards Agency,27/06/2013,Electricity,HQ SITE COSTS,BRITISH GAS BUSINESS,DIRECT DEBIT,"1,043.56",400530 02206382 BRITISH GAS        A3666192 BGT B2B   941524,#
Department for Transport,Driving Standards Agency,27/06/2013,Electricity,HQ SITE COSTS,BRITISH GAS BUSINESS,DIRECT DEBIT,843.42,400530 02206382 BRITISH GAS        A3666167 BGT B2B   941524,#
Department for Transport,Driving Standards Agency,27/06/2013,Electricity,HQ SITE COSTS,BRITISH GAS BUSINESS,DIRECT DEBIT,807.06,400530 02206382 BRITISH GAS        A3666131 BGT B2B   941524,#
Department for Transport,Driving Standards Agency,27/06/2013,Electricity,HQ SITE COSTS,BRITISH GAS BUSINESS,DIRECT DEBIT,801.84,400530 02206382 BRITISH GAS        A3666141 BGT B2B   941524,#
Department for Transport,Driving Standards Agency,27/06/2013,Electricity,HQ SITE COSTS,BRITISH GAS BUSINESS,DIRECT DEBIT,796.53,400530 02206382 BRITISH GAS        A3666163 BGT B2B   941524,#
Department for Transport,Driving Standards Agency,27/06/2013,Electricity,HQ SITE COSTS,BRITISH GAS BUSINESS,DIRECT DEBIT,735.92,400530 02206382 BRITISH GAS        A3666132 BGT B2B   941524,#
Department for Transport,Driving Standards Agency,27/06/2013,Electricity,MITCHAM DTC,BRITISH GAS BUSINESS,DIRECT DEBIT,590.12,400530 02206382 BRITISH GAS        A4013730 BGT B2B   941524,#
Department for Transport,Driving Standards Agency,27/06/2013,Electricity,STEETON LGV,BRITISH GAS BUSINESS,DIRECT DEBIT,625.5,400530 02206382 BRITISH GAS        A3667729 BGT B2B   941524,#
Department for Transport,Driving Standards Agency,27/06/2013,Telephone charges,VARIOUS DTCS,BRITISH TELECOM,DIRECT DEBIT,"21,690.87",200000 10596159 BRITISH TELECOM    VP28060270M12701   942769,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,NORWICH MPTC,BROADLAND DISTRICT COUNCIL,DIRECT DEBIT,"2,002.00",089014 61520804 BROADLAND D C      11593124X          926063,#
Department for Transport,Driving Standards Agency,19/06/2013,Rent - L&B (non-PFI),BIRMINGHAM SHIRLEY,BROOKWOOD COMMERCIAL,5100001321,"3,462.50",RC - BIRMINGHAM SHIRLEY DTC RENT,NW2 2JP
Department for Transport,Driving Standards Agency,18/06/2013,Child care vouchers,HR - POLICY TEAM,BUSY BEES CHILDCARE VOUCH,DIRECT DEBIT,"12,615.38",160895 10000391 COMP VOUCHER SERV  0000318545         558546,#
Department for Transport,Driving Standards Agency,19/06/2013,Rent - L&B (non-PFI),WATFORD,C P HOLDINGS LIMITED,5100001400,"7,500.00",RC - WATFORD DTC RENT,WD25 8JP
Department for Transport,Driving Standards Agency,07/06/2013,Gas,NOTTM COLWICK - MPTC,CALOR GAS LIMITED,5100001163,615.93,#,CV34 6RL
Department for Transport,Driving Standards Agency,15/06/2013,Rent - L&B (non-PFI),CAMBRIDGE COWLEY RD,CAMBRIDGE CITY COUNCIL,5100001200,"1,737.50",RC - COWLEY RD CAMBRIDGE RENT,CB2 3NA
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,CANTERBURY DTC,CANTERBURY CITY COUNCIL,DIRECT DEBIT,"1,507.00",600427 54829550 CANTERBURY CITY C  21209431           678850,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,HERNE BAY MPTC,CANTERBURY CITY COUNCIL,DIRECT DEBIT,"2,214.00",600427 54829550 CANTERBURY CITY C  23030983           678850,#
Department for Transport,Driving Standards Agency,06/06/2013,Minor Developments,CENTRAL OPERATIONS,CAPITA BUSINESS SERVICES LTD,5100001151,"1,164.34",#,DL1 9HN
Department for Transport,Driving Standards Agency,10/06/2013,Minor Developments,CENTRAL OPERATIONS,CAPITA BUSINESS SERVICES LTD,5100001152,"1,578.60",#,DL1 9HN
Department for Transport,Driving Standards Agency,04/06/2013,Software Licences Capital Cost (Intangible),EU 3RD DIRECTIVE,CAPITA BUSINESS SERVICES LTD,5100001106,"37,017.72",#,DL1 9HN
Department for Transport,Driving Standards Agency,28/06/2013,Software Licences Capital Cost (Intangible),IBS - PRACTICAL,CAPITA BUSINESS SERVICES LTD,5100001588,"33,217.49",#,DL1 9HN
Department for Transport,Driving Standards Agency,07/06/2013,IT Services  Running Costs,INFRAS/CONTRACTS,CAPITA BUSINESS SERVICES LTD,5100001150,"645,064.10",#,DL1 9HN
Department for Transport,Driving Standards Agency,25/06/2013,IT Services  Running Costs,INFRAS/CONTRACTS,CAPITA BUSINESS SERVICES LTD,5100001527,"36,084.86",#,DL1 9HN
Department for Transport,Driving Standards Agency,24/06/2013,IT Services  Running Costs,INFRAS/CONTRACTS,CAPITA BUSINESS SERVICES LTD,5100001529,"696,657.38",#,DL1 9HN
Department for Transport,Driving Standards Agency,13/06/2013,IT Services  Running Costs,PURFLEET LGV,CAPITA BUSINESS SERVICES LTD,5100001262,"2,313.00",#,DL1 9HN
Department for Transport,Driving Standards Agency,14/06/2013,Business rates,CARDIFF (LLANISHEN) DTC,CARDIFF COUNTY COUNCIL,DIRECT DEBIT,"1,269.00",089003 61007657 CARDIFF CO         10406182241        824913,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,CARLISLE MPTC,CARLISLE CITY COUNCIL,DIRECT DEBIT,"2,025.00",401622 71275984 BUSINESS RATES     108112302          982870,#
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),DONCASTER DTC,CARNELL MOTOR GROUP LTD,5100001330,"5,400.00",RC -DONCASTER DTC RENT,WF2 7WX
Department for Transport,Driving Standards Agency,21/06/2013,Rent - L&B (non-PFI),BODMIN,CBRE CORPORATE OUTSOURCING LTD,5100001339,"1,875.00",RC - BODMIN DTC RENT,B3 2DT
Department for Transport,Driving Standards Agency,21/06/2013,Rent - L&B (non-PFI),LOUGHBOROUGH,CHARNWOOD BOROUGH COUNCIL,5100001309,"1,704.60",RC - LOUGHBOROUGH DTC RENT,LE11 2TU
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,CHELMSFORD,CHELMSFORD BOROUGH,DIRECT DEBIT,"1,425.00",600513 55600018 CHELM CITY COUNCIL 700023876          284589,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,CHESTER MPTC,CHESHIRE WEST AND CHESTER COUNCIL,DIRECT DEBIT,797,089274 61602311 CHESHIRE WEST AND  600245728          250013,#
Department for Transport,Driving Standards Agency,14/06/2013,Business rates,CHICHESTER DTC,CHICHESTER DISTRICT COUNCIL,DIRECT DEBIT,531.3,401716 31466100 CDC REVS           98158898           990842,#
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),SOUTHALL DTC,CHRIST THE REDEEMER PCC,5100001366,500,RC - SOUTHALL CAR PARK RENT,UB1 2HE
Department for Transport,Driving Standards Agency,18/06/2013,Building Service Charges,WHALLEY RANGE DTC,CHRISTIE FIELDS MANAGEMENT CO. LTD,5100001160,"1,092.54",#,LS25 1LJ
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,SWANSEA MPTC,CITY AND COUNTY OF SWANSEA,DIRECT DEBIT,"3,666.00",309546 00046426 C C SWANSEA        90379706           990878,#
Department for Transport,Driving Standards Agency,27/06/2013,Business rates,EDINBURGH CURRIE,CITY OF EDINBURGH COUNCIL,DIRECT DEBIT,804,830608 00740589 CEC COLLECTION A.C 2066597R           916372,#
Department for Transport,Driving Standards Agency,14/06/2013,Business rates,LINCOLN MPTC,CITY OF LINCOLN,DIRECT DEBIT,"1,778.00",089032 61604267 CITY OF LINCOLN    30246091           930085,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,ELSWICK,CITY OF NEWCASTLE,DIRECT DEBIT,"2,037.00",089006 61145043 CITY OF NEWCASTLE  69493189           971418,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,NORTH AREA OFFICE,CITY OF NEWCASTLE,DIRECT DEBIT,"18,134.00",089006 61145043 CITY OF NEWCASTLE  69364591           971418,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,YORK,CITY OF YORK COUNCIL,DIRECT DEBIT,664,404731 70897558 CITY OF YORK GENER 4000272851         940784,
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),COVENTRY BAYTON RD,CLARNOR ESTATES LTD,5100001375,"5,550.00",RC - COVENTRY BAYTON ROAD DTC RENT,LD3 8SU
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,COLCHESTER,COLCHESTER BOROUGH COUNCIL,DIRECT DEBIT,601,202267 60018082 COLCHESTER BC  NDR  6598321X          990688,#
Department for Transport,Driving Standards Agency,22/06/2013,Rent,PETERBOROUGH MPTC,#,5100001422,"51,000.00",RC - PETERBOROUGH MPTC RENT,#
Department for Transport,Driving Standards Agency,19/06/2013,Rent - L&B (non-PFI),CREWE,#,5100001425,"1,875.00",RC - CREWE DTC RENT,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,BODMIN,CORNWALL COUNCIL,DIRECT DEBIT,680,602137 57125236 CORNWALL COUNCIL   800481039          982871,#
Department for Transport,Driving Standards Agency,07/06/2013,Rent - L&B (non-PFI),PENZANCE DTC,CORNWALL COUNCIL,1900000857,"2,160.00",PENZANCE PARKING FROM 21.06.2013,TR1 3AY
Department for Transport,Driving Standards Agency,04/06/2013,Gas,VARIOUS DTCS,CORONA ENERGY,DIRECT DEBIT,"23,428.89",200574 30877700 CORONA ENERGY      20148848           625736,#
Department for Transport,Driving Standards Agency,27/06/2013,Gas,VARIOUS DTCS,CORONA ENERGY,DIRECT DEBIT,"12,244.07",200574 30877700 CORONA ENERGY      20148848           625736,#
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),MERTHYR TYDFIL,COUNTRYWIDE,5100001370,"4,200.00",RC - MERTHYR TYDFIL DTC RENT,SS14 1EL
Department for Transport,Driving Standards Agency,19/06/2013,Business rates,SKIPTON DTC,CRAVEN DISTRICT COUNCIL,DIRECT DEBIT,"1,283.00",555010 57063788 CRAVEN DC          50006330460        994216,#
Department for Transport,Driving Standards Agency,24/06/2013,Building Service Charges,SIDCUP DTC,CRAYSIDE MANAGEMENT COMPANY LTD,5100001532,519.76,#,DA14 5AG
Department for Transport,Driving Standards Agency,21/06/2013,Rent - L&B (non-PFI),ROCHDALE DTC,CRESCENT TRUSTEES LIMITED,5100001358,"7,800.00",RC - ROCHDALE DTC RENT,M3 3WF
Department for Transport,Driving Standards Agency,19/06/2013,Rent - L&B (non-PFI),CHIPPENHAM DTC,CURTIS BANKS,5100001397,"6,750.00",RC - CHIPPENHAM DTC RENT,SE1 8RT
Department for Transport,Driving Standards Agency,12/06/2013,Building Service Charges,TAUNTON MPTC,CUSHMAN & WAKEFIELD LLP,5100001239,736.8,#,B64 5JE
Department for Transport,Driving Standards Agency,04/06/2013,Cycle to Work,HR CRPTE EXPENDITURE,CYCLESCHEME LTD,1900000851,818.95,Bikes and other equipment,BA1 1WX
Department for Transport,Driving Standards Agency,10/06/2013,Cycle to Work,HR CRPTE EXPENDITURE,CYCLESCHEME LTD,1900000886,900,Bikes and other equipment,BA1 1WX
Department for Transport,Driving Standards Agency,04/06/2013,Business rates,BANGOR MPTC,CYNGOR GWYNEDD COUNCIL,DIRECT DEBIT,916,203547 00923680 CYNG GWYNEDD COUN  130187903          850916,#
Department for Transport,Driving Standards Agency,07/06/2013,Room Hire,WESTBURY (TTTC),D C LEISURE,5100001140,560,#,BA13 3PW
Department for Transport,Driving Standards Agency,25/06/2013,Machinery Rental,INFRAS/CONTRACTS,DANWOOD GROUP LTD,5100000307,"8,278.27",#,LN6 3DG
Department for Transport,Driving Standards Agency,21/06/2013,Machinery Rental,INFRAS/CONTRACTS,DANWOOD GROUP LTD,5100001497,"28,317.48",#,LN6 3DG
Department for Transport,Driving Standards Agency,14/06/2013,Business rates,DARLINGTON MPTC,DARLINGTON BOROUGH COUNCIL,DIRECT DEBIT,"1,872.00",523018 94123918 DBC COLLECTION ACC 60001901935        971466,#
Department for Transport,Driving Standards Agency,20/06/2013,Tel & Fax Repairs & Maintenance,INFRAS/CONTRACTS,DATA TRACK TECHNOLOGY PLC,5100001454,"1,906.02",#,BH23 3TY
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),PENZANCE DTC,DAY LEWIS PHARMACY,5100001407,"1,125.00",RC - Penzance DTC Rent,CR0 4UQ
Department for Transport,Driving Standards Agency,21/06/2013,Rent - L&B (non-PFI),CHINGFORD,DB INVESTMENTS LTD,5100001437,"6,287.50",RC - CHINGFORD DTC RENT - 126 & 128 STATION ROAD,E1 4PW
