Data is Unweighted,,,Q8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,How satisfied are you with each of the following?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do the following statements apply to you and your job?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This sheet contains questions relating to: job satisfaction,,,a) The recognition I get for good work,,,,,,b) The support I get from my immediate manager,,,,,,c) The freedom I have to choose my own method of working,,,,,,d) The support I get from my work colleagues,,,,,,e) The amount of responsibility I am given,,,,,,f) The opportunities I have to use my skills,,,,,,g) The extent to which my organisation values my work,,,,,,h) My level of pay,,,,,,a) I am satisfied with the quality of care I give to patients / service users,,,,,,,b) I feel that my role makes a difference to patients / service users,,,,,,,c) I am able to deliver the patient care I aspire to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Black Caribbean staff,--,17,37,30,10,7,12,0,17,20,57,7,12,17,10,27,40,7,12,0,5,23,50,22,12,10,17,22,45,7,12,0,17,27,50,7,12,5,58,20,10,7,12,15,32,10,43,0,12,0,20,13,30,37,0,12,0,7,17,35,42,0,12,10,15,20,15,30,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Black African staff,--,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,--,4,--,--,--,--,--,--,4,--,--,--,--,--,--,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  White and Asian staff,--,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,--,10,--,--,--,--,--,--,10,--,--,--,--,--,--,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other mixed background staff,--,25,38,13,25,0,11,13,0,19,44,25,11,0,0,69,25,6,11,0,13,13,75,0,11,0,13,31,44,13,11,--,--,--,--,--,10,6,38,44,13,0,11,6,31,25,38,0,11,0,19,6,50,19,6,11,0,0,0,81,19,0,11,13,13,13,44,0,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Chinese staff,--,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,10,--,--,--,--,--,--,10,--,--,--,--,--,--,10,--,--,--,--,--,--,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other ethnic groups,--,40,28,10,22,0,20,17,24,16,42,2,20,28,13,23,24,13,20,0,0,20,55,25,20,17,6,19,46,13,20,17,15,31,36,2,20,57,18,16,9,0,20,24,28,26,22,0,21,13,0,22,22,40,4,21,11,0,13,31,42,4,20,17,7,21,35,6,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Heterosexual (straight) staff,--,16,28,24,27,4,"3,253",10,16,22,36,16,"3,247",6,12,31,40,11,"3,244",1,5,17,56,20,"3,239",3,9,22,54,11,"3,244",5,12,21,52,10,"3,242",21,27,26,22,4,"3,244",17,30,24,26,3,"3,245",2,6,7,39,36,10,"3,239",2,2,9,41,40,6,"3,239",5,13,12,33,23,15,"3,238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Gay Male staff,--,13,33,33,20,1,77,8,7,27,38,20,77,8,4,31,47,10,77,1,8,10,53,29,77,6,9,13,58,14,77,5,7,27,48,13,77,15,37,24,20,3,77,11,35,21,27,6,77,3,6,12,41,31,7,77,3,2,12,35,47,1,77,5,16,15,26,31,5,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Gay Female staff,--,19,35,21,17,8,62,19,12,27,25,17,62,4,24,34,27,11,62,5,2,18,52,23,62,2,7,26,58,8,62,2,18,29,45,6,62,25,33,31,7,5,62,14,34,24,24,3,63,3,4,10,32,47,3,63,0,3,14,38,44,1,62,0,14,11,45,25,4,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Bisexual staff,--,17,23,40,20,0,23,8,25,37,25,5,23,8,34,43,15,0,22,3,3,20,67,8,23,6,12,25,49,8,23,6,7,38,44,5,23,23,16,42,20,0,23,6,18,37,39,0,23,3,6,0,43,28,20,23,6,0,0,56,28,10,23,8,7,8,45,23,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other sexuality,--,28,35,13,25,0,13,4,8,40,47,0,13,14,14,47,25,0,13,0,4,8,65,22,13,0,10,35,56,0,13,4,25,29,42,0,13,36,22,25,17,0,13,18,40,33,8,0,13,0,4,6,32,58,0,13,0,4,0,36,60,0,13,4,17,25,17,38,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,I would prefer not to say,--,22,29,22,25,3,218,14,15,34,27,10,218,12,20,32,29,7,218,3,14,17,50,16,219,5,13,34,42,7,219,6,15,35,38,6,219,32,34,21,13,1,218,23,34,23,18,2,219,2,5,9,44,30,11,218,2,3,10,45,32,7,217,5,15,25,28,16,12,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,No religion,--,18,29,25,24,4,"1,280",12,15,21,36,16,"1,280",6,13,33,38,9,"1,278",2,5,16,57,20,"1,276",4,9,23,54,10,"1,280",6,13,24,49,8,"1,279",23,30,24,21,2,"1,279",17,30,25,25,2,"1,281",2,5,8,40,36,9,"1,277",2,2,10,42,39,5,"1,278",5,14,14,35,20,12,"1,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Christian staff,--,15,28,25,28,5,"1,996",9,16,23,36,16,"1,990",5,12,31,40,12,"1,989",1,5,17,56,20,"1,988",4,9,20,55,12,"1,988",4,12,20,52,11,"1,988",20,26,27,22,5,"1,989",16,31,24,26,4,"1,988",2,7,6,38,36,11,"1,990",2,3,9,41,39,7,"1,988",5,13,11,32,24,15,"1,987",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Buddhist staff,--,59,18,16,7,0,20,46,7,22,11,14,20,29,7,27,37,0,20,5,2,31,34,28,20,11,24,25,40,0,20,11,24,16,44,5,20,65,15,15,5,0,20,23,48,9,20,0,20,24,2,15,12,42,5,20,11,4,2,51,27,5,20,25,9,31,11,18,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Hindu staff,--,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,--,6,--,--,--,--,--,--,6,--,--,--,--,--,--,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Jewish staff,--,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,--,8,--,--,--,--,--,--,8,--,--,--,--,--,--,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Muslim staff,--,25,17,7,51,0,18,25,14,19,14,28,18,41,0,21,35,2,18,14,0,18,64,4,18,2,24,25,47,2,18,14,0,23,59,5,18,40,14,28,18,0,18,23,42,14,16,4,18,0,0,6,38,40,16,18,0,7,6,37,40,9,18,2,26,2,26,26,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Sikh staff,--,21,11,43,25,0,12,25,7,46,7,14,12,14,7,25,46,7,12,0,0,39,36,25,12,0,7,29,43,21,12,4,7,29,61,0,12,25,32,29,7,7,12,0,50,25,18,7,12,4,0,14,61,7,14,12,0,0,18,61,14,7,12,0,32,7,39,7,14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other religion,--,26,24,25,21,4,75,8,15,28,31,19,75,6,18,40,31,5,75,0,6,12,61,21,75,1,5,33,54,7,75,5,7,31,48,9,75,32,20,23,22,2,74,20,33,27,19,1,75,0,6,10,39,40,5,75,0,2,7,47,42,2,74,4,14,13,42,21,5,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,I would prefer not to say,--,21,29,22,24,4,206,10,15,30,32,12,206,8,17,32,32,11,205,1,14,16,49,20,206,4,12,29,43,12,206,5,14,30,41,9,206,26,35,23,14,1,206,23,35,19,21,2,206,3,3,6,45,32,11,206,1,3,10,44,36,6,206,5,12,25,28,19,12,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BREAKDOWN BY STAFF GROUP: MENTAL HEALTH TRUSTS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,"Allied Health Professionals, Healthcare Scientists and Scientific & Technical staff",--,6,16,25,45,9,"4,607",3,10,15,44,28,"4,606",3,7,17,52,21,"4,595",1,4,12,52,31,"4,603",2,8,13,57,20,"4,607",3,11,13,53,20,"4,607",10,20,30,32,8,"4,598",8,20,24,40,7,"4,600",2,7,8,44,37,2,"4,608",1,1,5,44,48,1,"4,609",4,16,14,41,23,3,"4,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Occupational therapy,--,4,16,27,45,7,900,2,12,15,44,27,901,2,8,15,53,22,898,1,4,13,52,30,899,2,9,11,57,21,902,3,14,12,53,18,902,10,20,31,32,7,898,8,18,27,41,5,899,3,10,9,45,31,2,901,0,2,4,46,47,1,902,5,20,15,39,18,2,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Physiotherapy,--,6,12,34,43,5,379,2,10,15,44,30,378,3,7,17,47,26,378,1,4,11,54,31,379,1,11,15,51,22,379,1,11,17,55,16,378,8,28,36,23,5,379,6,20,30,39,5,376,2,13,9,41,35,0,378,1,0,4,46,48,1,378,5,24,11,46,13,1,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Radiography,--,30,20,14,30,7,19,14,0,26,32,29,18,14,18,33,9,26,18,0,0,35,41,24,18,14,8,21,36,21,18,5,16,36,23,20,19,30,14,18,17,21,18,30,27,23,17,3,18,5,14,20,27,32,2,19,14,5,5,45,32,0,18,5,14,32,9,38,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Pharmacy,--,2,19,30,42,7,180,5,6,16,53,20,179,1,8,19,53,19,178,1,5,22,52,19,180,2,5,15,65,13,180,1,10,17,58,13,179,3,19,37,34,7,179,7,17,24,46,5,179,0,7,15,51,20,7,178,0,1,8,62,26,4,177,2,14,22,43,10,9,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Clinical Psychology,--,5,13,22,47,12,855,2,10,13,43,33,854,2,5,14,50,30,853,0,4,9,52,34,853,1,6,10,57,25,855,2,9,11,54,24,854,10,22,22,35,11,853,4,16,19,45,15,854,2,5,7,49,36,2,854,1,0,3,49,46,1,855,5,14,16,45,19,2,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Psychotherapy,--,9,15,25,40,11,611,6,9,16,42,28,612,5,10,17,49,19,612,1,5,10,51,33,611,2,8,15,55,20,612,4,12,10,51,23,610,14,23,23,30,11,610,7,18,18,50,8,609,3,5,6,41,43,2,613,1,0,4,37,58,1,612,5,14,11,43,25,3,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Arts Therapy,--,8,19,28,44,2,75,4,16,12,51,17,77,1,13,7,58,21,76,3,5,17,62,13,77,4,9,13,61,14,76,6,7,20,52,15,76,12,29,35,23,0,77,7,21,19,48,5,77,2,6,7,52,33,0,76,0,1,4,48,47,0,77,4,15,19,39,23,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other qualified Allied Health Professionals,--,6,19,26,44,6,632,5,9,16,43,27,633,5,8,12,56,20,631,2,4,10,54,30,632,3,5,15,58,19,633,5,14,12,51,18,632,12,21,34,26,7,630,7,22,25,41,5,631,3,9,11,47,29,1,633,1,1,6,42,49,1,633,5,22,15,41,15,1,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other qualified Scientific and Technical or Healthcare Scientists,--,5,14,24,46,10,884,3,10,16,44,27,882,2,5,24,53,16,881,1,4,14,52,29,882,2,9,17,56,16,880,3,8,20,52,16,886,6,17,35,34,8,884,13,26,30,27,3,885,1,3,5,38,50,2,884,1,1,6,39,52,1,885,2,8,11,41,36,3,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Support to Allied Health Professionals,--,10,8,23,52,7,22,10,4,13,37,37,22,7,6,15,55,17,22,17,2,15,32,33,22,7,17,26,43,7,22,8,15,26,44,8,21,8,10,60,14,8,21,35,21,17,27,0,22,7,7,0,27,36,23,22,7,0,2,43,31,17,22,7,14,6,14,21,37,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Support to Scientific and Technical or Healthcare Scientists,--,5,12,30,49,4,50,5,11,23,46,15,50,5,9,34,48,4,48,0,9,24,50,17,50,1,8,22,64,5,50,7,6,18,58,11,50,14,24,21,37,4,49,20,21,32,26,2,50,6,1,6,25,49,13,50,0,1,12,33,46,8,50,6,1,10,26,41,16,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Ambulance staff (operational),--,9,32,26,29,5,15,8,18,27,42,5,15,3,0,32,61,5,15,0,0,9,86,5,15,0,0,14,79,8,15,0,0,23,74,3,15,23,12,18,47,0,15,5,32,27,33,3,15,0,0,0,62,29,9,15,0,0,0,61,30,9,15,0,0,21,53,17,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Emergency Care Practitioners,--,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Patient Transport Service,--,13,19,23,40,6,12,10,13,25,46,6,12,4,0,44,46,6,12,0,0,13,81,6,12,0,0,6,83,10,12,0,0,19,77,4,12,19,17,25,40,0,12,6,31,13,46,4,12,0,0,0,48,40,13,12,0,0,0,58,29,13,12,0,0,17,48,23,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Medical / Dental staff,--,6,13,25,44,13,"1,095",3,8,18,46,25,"1,096",3,9,18,50,20,"1,093",1,2,10,58,28,"1,096",1,3,10,61,25,"1,096",1,8,12,57,22,"1,095",8,15,26,37,13,"1,092",4,13,21,46,16,"1,091",2,7,8,45,38,1,"1,093",1,0,5,47,45,1,"1,095",3,14,14,41,27,2,"1,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (consultants),--,7,16,25,40,13,617,5,10,20,42,22,616,4,9,16,49,22,615,1,3,12,54,31,616,1,3,11,56,29,616,2,10,12,52,25,614,10,16,25,33,15,614,3,7,18,51,21,613,2,10,8,42,36,2,615,1,0,5,45,47,2,616,4,19,13,39,22,2,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (in training),--,5,4,25,53,13,210,2,3,8,59,28,211,4,6,19,52,19,211,3,1,12,65,20,211,4,3,7,69,17,211,1,4,12,68,15,211,6,10,25,49,10,209,4,17,22,45,13,209,4,3,9,52,33,1,209,6,1,5,55,33,0,209,5,4,17,48,25,1,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (other),--,6,8,28,46,13,268,1,7,18,46,27,269,1,9,23,46,21,267,1,3,8,62,26,269,1,4,10,63,22,269,1,6,11,62,21,270,7,16,26,37,13,269,8,21,27,32,12,269,0,3,6,43,47,0,269,0,1,3,44,51,0,270,1,9,13,39,37,1,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Registered Nurses and Midwives,--,6,17,28,40,9,"6,833",4,9,17,44,26,"6,845",3,9,23,49,16,"6,838",1,4,13,54,28,"6,842",2,7,16,58,16,"6,844",2,10,16,55,17,"6,840",12,20,31,30,7,"6,836",10,25,26,34,4,"6,829",3,9,8,39,37,4,"6,848",1,2,7,43,45,2,"6,849",5,16,15,35,25,5,"6,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  adult / general nurses,--,5,16,27,38,14,630,5,7,22,43,23,631,3,11,16,48,22,633,1,4,13,54,28,632,2,6,15,59,17,633,2,8,13,57,20,631,8,16,28,38,10,632,9,24,22,37,9,629,2,7,5,29,47,10,631,1,2,4,37,54,2,632,4,9,7,32,36,12,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  mental health nurses,--,7,17,27,39,9,"4,264",5,9,16,44,26,"4,273",4,10,24,47,15,"4,266",2,4,13,55,27,"4,269",2,7,17,58,15,"4,269",2,10,16,54,17,"4,266",13,21,31,28,7,"4,260",11,26,27,32,4,"4,258",2,8,9,41,36,4,"4,274",1,2,7,44,44,1,"4,273",5,16,16,34,25,4,"4,267",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  learning disabilities nurses,--,4,16,27,45,9,668,5,8,18,39,31,670,2,12,17,51,19,670,2,2,11,50,35,671,1,5,15,62,17,671,2,8,16,56,18,673,5,20,35,31,8,672,6,18,25,46,5,672,1,6,8,38,43,4,669,1,2,7,39,49,2,670,2,9,18,40,27,4,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  children nurses,--,3,20,30,41,6,146,3,5,14,53,25,146,2,6,13,63,17,146,0,4,10,51,34,146,0,4,12,68,17,146,1,11,12,54,23,145,6,23,34,33,4,146,5,26,24,42,3,146,1,12,9,42,31,5,146,1,3,3,43,49,1,146,4,17,16,36,22,6,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  midwives,--,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,--,4,--,--,--,--,--,--,4,--,--,--,--,--,--,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  health visitors,--,5,13,34,43,6,359,3,10,22,43,22,359,3,9,21,48,18,357,1,5,11,48,36,356,2,8,15,57,19,358,3,8,21,51,16,358,12,13,38,32,6,358,9,25,31,33,2,357,4,14,8,45,26,3,359,2,2,8,49,36,3,359,7,21,21,30,14,8,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  district / community nurses,--,8,16,26,42,8,548,5,11,15,46,23,547,3,10,19,49,19,549,0,3,16,48,33,550,2,8,17,53,20,550,4,14,8,51,23,548,9,26,25,34,6,550,8,21,30,38,4,549,4,9,9,36,38,4,550,1,1,6,47,42,2,550,6,15,16,40,19,4,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  other registered nurses,--,7,17,27,35,13,214,6,12,13,40,28,215,4,8,22,46,19,213,1,9,14,44,31,214,3,10,15,52,20,213,6,13,15,42,23,215,10,18,26,33,13,214,13,25,29,24,9,214,3,7,6,39,40,5,215,2,1,5,40,50,2,215,4,20,10,32,27,7,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
