Service,Supplier Name,Date,Amount (£),Purpose of Expenditure,Merchant Category,Transaction Number,Organisation Name,Service Category
Planning Services,OXFORD INNOVATION LTD FOR STOCKPORT,2015-09-18,"14,719.80",Fees and Charges,Fees and Charges,1900552984,Stockport,Services to Place
Planning Services,OXFORD INNOVATION LTD FOR STOCKPORT,2015-09-25,"49,248.37",Fees and Charges,Fees and Charges,1900553597,Stockport,Services to Place
Highways & Transport Services,P & T BARTON LTD,2015-09-16,"1,200.00",Supplies and services,Supplies and services,5100291707,Stockport,Services to Place
Highways & Transport Services,P & T BARTON LTD,2015-09-16,"-1,200.00",Supplies and services,Supplies and services,5100291708,Stockport,Services to Place
Highways & Transport Services,P & T BARTON LTD,2015-09-16,"1,200.00",Supplies and services,Supplies and services,5100291709,Stockport,Services to Place
Highways & Transport Services,P & T BARTON LTD,2015-09-18,192.50,Fees and Charges,"Works - Construction, Repair & Maintenance  ",5100291226,Stockport,Services to Place
Highways & Transport Services,P & T BARTON LTD,2015-09-18,-192.50,Fees and Charges,"Works - Construction, Repair & Maintenance  ",5100291227,Stockport,Services to Place
Highways & Transport Services,P & T BARTON LTD,2015-09-14,192.50,Fees and Charges,"Works - Construction, Repair & Maintenance  ",5100291228,Stockport,Services to Place
Environmental & Regulatory Services,P MCGUINESS & CO LTD,2015-09-16,295.00,Fees and Charges,Fees and Charges,5100290820,Stockport,Services to Place
Capital Expenditure,P MCGUINESS & CO LTD,2015-09-07,362.50,Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550447,Stockport,Services to Place
Capital Expenditure,PA CHARNLEY T/A DIRTWORKS BMX,2015-09-02,"1,500.00",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",5100290458,Stockport,Services to Place
Central Support Costs,PARAGON PRINTING CO LTD,2015-09-15,565.00,Publicity and Promotion,Facilities & Management Services  ,5100291797,Stockport,Corporate and Support Services
Planning Services,PARAGON PRINTING CO LTD,2015-09-14,212.00,Publicity and Promotion,Facilities & Management Services  ,5100288517,Stockport,Corporate and Support Services
Childrens & Educational Services,PARALLEL PARENTS (FF),2015-09-02,"5,818.00",Care Payments,Social Community Care Supplies & Services  ,102264844,Stockport,Services to People
Childrens & Educational Services,PARITOR LTD,2015-09-02,"3,361.52",Fees and Charges,"Works - Construction, Repair & Maintenance  ",5100291003,Stockport,Services to People
Central Support Costs,PAULA DAVITT - LEGAL/LAW,2015-09-22,"1,300.00",Professional Fees,Consultancy   ,1900543512,Stockport,Corporate and Support Services
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,80.00,Care Payments,Social Community Care Supplies & Services  ,1900550065,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,235.00,Care Payments,Social Community Care Supplies & Services  ,1900550065,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,58.00,Care Payments,Social Community Care Supplies & Services  ,1900550065,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,100.00,Care Payments,Social Community Care Supplies & Services  ,1900550065,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,261.00,Care Payments,Social Community Care Supplies & Services  ,1900550065,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,10.00,Care Payments,Social Community Care Supplies & Services  ,1900550065,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-09,525.00,Care Payments,Social Community Care Supplies & Services  ,1900551016,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-09,158.00,Care Payments,Social Community Care Supplies & Services  ,1900551016,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-09,100.00,Care Payments,Social Community Care Supplies & Services  ,1900551016,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-09,150.00,Care Payments,Social Community Care Supplies & Services  ,1900551016,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-09,170.00,Care Payments,Social Community Care Supplies & Services  ,1900551016,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-09,50.00,Care Payments,Social Community Care Supplies & Services  ,1900551016,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-09,50.00,Care Payments,Social Community Care Supplies & Services  ,1900551016,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-09,400.00,Care Payments,Social Community Care Supplies & Services  ,1900551016,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,44.00,Care Payments,Social Community Care Supplies & Services  ,1900551019,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,427.00,Care Payments,Social Community Care Supplies & Services  ,1900551019,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,33.00,Care Payments,Social Community Care Supplies & Services  ,1900551019,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,635.00,Care Payments,Social Community Care Supplies & Services  ,1900551019,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,233.00,Care Payments,Social Community Care Supplies & Services  ,1900551019,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,23.00,Care Payments,Social Community Care Supplies & Services  ,1900551019,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,10.00,Care Payments,Social Community Care Supplies & Services  ,1900551019,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,80.00,Care Payments,Social Community Care Supplies & Services  ,1900551632,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,564.00,Care Payments,Social Community Care Supplies & Services  ,1900551632,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,13.50,Care Payments,Social Community Care Supplies & Services  ,1900551632,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,200.00,Care Payments,Social Community Care Supplies & Services  ,1900551632,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,50.00,Care Payments,Social Community Care Supplies & Services  ,1900551632,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,52.00,Care Payments,Social Community Care Supplies & Services  ,1900551632,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,45.00,Care Payments,Social Community Care Supplies & Services  ,1900551632,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,82.00,Care Payments,Social Community Care Supplies & Services  ,1900552644,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,47.00,Care Payments,Social Community Care Supplies & Services  ,1900552644,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,118.00,Care Payments,Social Community Care Supplies & Services  ,1900552644,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,17.00,Care Payments,Social Community Care Supplies & Services  ,1900552644,Stockport,Services to People
Childrens & Educational Services,PAYPOINT PLC,2015-09-16,9.00,Care Payments,Social Community Care Supplies & Services  ,1900552644,Stockport,Services to People
Housing (General Fund) Services,PAYPOINT PLC,2015-09-16,205.00,Utilities,Utilities   ,1900550065,Stockport,Services to People
Housing (General Fund) Services,PAYPOINT PLC,2015-09-16,140.00,Utilities,Utilities   ,1900550065,Stockport,Services to People
Housing (General Fund) Services,PAYPOINT PLC,2015-09-09,60.00,Utilities,Utilities   ,1900551016,Stockport,Services to People
Housing (General Fund) Services,PAYPOINT PLC,2015-09-09,95.00,Utilities,Utilities   ,1900551016,Stockport,Services to People
Housing (General Fund) Services,PAYPOINT PLC,2015-09-16,135.00,Utilities,Utilities   ,1900551019,Stockport,Services to People
Housing (General Fund) Services,PAYPOINT PLC,2015-09-16,125.00,Utilities,Utilities   ,1900551019,Stockport,Services to People
Housing (General Fund) Services,PAYPOINT PLC,2015-09-16,70.00,Utilities,Utilities   ,1900551632,Stockport,Services to People
Housing (General Fund) Services,PAYPOINT PLC,2015-09-16,65.00,Utilities,Utilities   ,1900551632,Stockport,Services to People
Housing (General Fund) Services,PAYPOINT PLC,2015-09-16,95.00,Utilities,Utilities   ,1900552644,Stockport,Services to People
Housing (General Fund) Services,PAYPOINT PLC,2015-09-16,50.00,Utilities,Utilities   ,1900552644,Stockport,Services to People
Capital Expenditure,PEEL SOUTH EAST LIMITED,2015-09-18,"1,200.00",Supplies and services,Supplies and services,1900553498,Stockport,Services to Place
Adult Social Care,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-16,18.88,Catering Supplies,Catering  ,5100289052,Stockport,Services to People
Adult Social Care,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-16,37.76,Catering Supplies,Catering  ,5100289053,Stockport,Services to People
Adult Social Care,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-15,372.22,Catering Supplies,Catering  ,5100290608,Stockport,Services to People
Adult Social Care,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-15,-208.30,Catering Supplies,Catering  ,5100290917,Stockport,Services to People
Adult Social Care,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-18,"1,470.50",Catering Supplies,Catering  ,5100291728,Stockport,Services to People
Adult Social Care,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-16,-18.88,Catering Supplies,Catering  ,5100291895,Stockport,Services to People
Central Support Costs,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-15,"1,168.08",Catering Supplies,Catering  ,5100290797,Stockport,Services to People
Central Support Costs,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-15,-667.04,Expenses and Allowances,Catering  ,1900541432,Stockport,Services to People
Adult Social Care,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-15,-21.81,Catering Supplies,Catering Food & Beverages ,5100290918,Stockport,Services to People
Adult Social Care,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-15,-765.20,Catering Supplies,Catering Food & Beverages ,5100291028,Stockport,Services to People
Adult Social Care,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-15,608.50,Catering Supplies,Catering Food & Beverages ,5100291713,Stockport,Services to People
Childrens & Educational Services,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-15,67.51,Catering Supplies,Catering Food & Beverages ,1900517923,Stockport,Corporate and Support Services
Childrens & Educational Services,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-15,-67.51,Catering Supplies,Catering Food & Beverages ,1900551049,Stockport,Corporate and Support Services
Adult Social Care,PELICAN ROUGE COFFEE SOLUTIONS LTD,2015-09-15,205.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100291714,Stockport,Services to People
Childrens & Educational Services,PENARTH GROUP,2015-09-02,"-1,125.41",Fees and Charges,Human Resources Training & Conferences ,1900549424,Stockport,Services to People
Childrens & Educational Services,PENARTH GROUP,2015-09-02,"-3,409.99",Fees and Charges,Human Resources Training & Conferences ,1900549425,Stockport,Services to People
Childrens & Educational Services,PENARTH GROUP,2015-09-02,"10,629.00",Care Payments,Social Community Care Supplies & Services  ,102264739,Stockport,Services to People
Capital Expenditure,PENDLE MEDICAL LTD,2015-09-14,"2,395.00",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",5100290386,Stockport,Services to People
