Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,234.97
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,480.41
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,480.41
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Information Services,MBA GROUP LTD,2000448977,485.42
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,485.76
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,490.56
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,504.56
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Information Services,MBA GROUP LTD,2000448977,513.27
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Information Services,MBA GROUP LTD,2000448977,513.27
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,524.75
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,528.81
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,537.34
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,537.34
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,537.34
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,537.34
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,537.63
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,539.76
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Information Services,MBA GROUP LTD,2000448977,550.62
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Information Services,MBA GROUP LTD,2000448977,569.99
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Information Services,MBA GROUP LTD,2000448977,569.99
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Information Services,MBA GROUP LTD,2000448977,569.99
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,662.4
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Service Charge Computer Expenses,Finance & Strategy,IBM UNITED KINGDOM LTD,2000448979,671.62
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,699.15
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,699.15
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,699.15
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,699.15
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,699.15
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,728.36
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non-stock Printing Purchases,Operations,MBA GROUP LTD,2000448977,748.08
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,797.46
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,797.46
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Service Charge Computer Expenses,Operations,IBM UNITED KINGDOM LTD,2000448979,809.31
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,885.79
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,936.68
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,960.83
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Information Services,MBA GROUP LTD,2000448977,970.83
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Information Services,MBA GROUP LTD,2000448977,"1,026.54"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,"1,074.68"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,"1,255.21"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,"1,339.03"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,"1,398.31"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,"1,456.73"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,"1,504.00"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Small Software,Information Services,IBM UNITED KINGDOM LTD,2000448979,"1,520.57"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Project Developments,Information Services,IBM UNITED KINGDOM LTD,2000448979,"1,547.60"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,"1,873.36"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Small Software,Finance & Strategy,IBM UNITED KINGDOM LTD,2000448979,"1,936.77"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Information Services,MBA GROUP LTD,2000448977,"1,941.66"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Information Services,MBA GROUP LTD,2000448977,"2,053.07"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,"2,292.64"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,"2,510.43"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,"2,510.43"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Computer Equipment Service Charge,Operations,IBM UNITED KINGDOM LTD,2000448979,"2,787.80"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Secured Stock ,Operations,MBA GROUP LTD,2000448977,"3,347.24"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,"4,585.28"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,"4,585.28"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Non Secured stock,Operations,MBA GROUP LTD,2000448977,"5,404.07"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Small Software,Finance & Strategy,IBM UNITED KINGDOM LTD,2000448979,"30,774.45"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Medical Advisory Service,Human Resource & Estates,SERCO OCCUPATIONAL HEALTH,2000447392,"38,670.00"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Small Software,Finance & Strategy,IBM UNITED KINGDOM LTD,2000448979,"52,361.53"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,DVO Payments,Finance & Strategy,DEPARTMENT OF TRANSPORT,2000481098,"248,410.00"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,IT Services  Running Costs,Operations,IBM UK LTD (EURO PAYMENTS),2000481097,"772,125.44"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,IT Services  Running Costs,Finance & Strategy,IBM UNITED KINGDOM LTD,2000452724,"3,198,819.94"
Department for Transport,Driver and Vehicle Licensing Agency,02/03/2011,Mail Collection/Delivery Costs,Operations,ROYAL MAIL,2000482892,500
Department for Transport,Driver and Vehicle Licensing Agency,02/03/2011,Postage Paid Imprest,Operations,ROYAL MAIL,2000482892,"156,824.94"
Department for Transport,Driver and Vehicle Licensing Agency,02/03/2011,Postage Paid Imprest,Operations,ROYAL MAIL,2000482892,"316,349.57"
Department for Transport,Driver and Vehicle Licensing Agency,04/03/2011,Travel Expenses UK,Finance & Strategy,REDFERN TRAVEL LTD,2000450902,"12,300.82"
Department for Transport,Driver and Vehicle Licensing Agency,04/03/2011,Travel Expenses UK,Finance & Strategy,REDFERN TRAVEL LTD,2000450902,"23,628.10"
Department for Transport,Driver and Vehicle Licensing Agency,04/03/2011,Machinery Maintenance,Operations,3M SECURITY & PRINTING SYSTEMS LTD,2000487652,"38,821.75"
Department for Transport,Driver and Vehicle Licensing Agency,04/03/2011,Plant & Machinery Capital Cost,Finance & Strategy,TELEREAL TRILLIUM,2000455230,"49,570.31"
Department for Transport,Driver and Vehicle Licensing Agency,05/03/2011,Agents Fees,Operations,NSL LTD,2000452729,"-64,547.76"
Department for Transport,Driver and Vehicle Licensing Agency,05/03/2011,Courier Charges (including IDS),Operations,SECURE MAIL SERVICES LTD,2000452732,"79,452.42"
Department for Transport,Driver and Vehicle Licensing Agency,05/03/2011,Agents Fees,Operations,NSL LTD,2000452729,"479,400.00"
Department for Transport,Driver and Vehicle Licensing Agency,05/03/2011,Agents Fees,Operations,NSL LTD,2000452729,"1,134,486.00"
Department for Transport,Driver and Vehicle Licensing Agency,06/03/2011,Courier Charges (including IDS),Operations,SECURE MAIL SERVICES LTD,2000455239,"27,312.20"
Department for Transport,Driver and Vehicle Licensing Agency,07/03/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000489344,880
Department for Transport,Driver and Vehicle Licensing Agency,07/03/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000489344,"1,155.00"
Department for Transport,Driver and Vehicle Licensing Agency,07/03/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000489344,"14,856.00"
Department for Transport,Driver and Vehicle Licensing Agency,07/03/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000489344,"32,132.00"
Department for Transport,Driver and Vehicle Licensing Agency,07/03/2011,Rent - L&B (non-PFI),Finance & Strategy,TELEREAL TRILLIUM,2000457521,"78,353.70"
Department for Transport,Driver and Vehicle Licensing Agency,08/03/2011,Service Charge Computer Expenses,Finance & Strategy,IBM UNITED KINGDOM LTD,2000459226,596.63
Department for Transport,Driver and Vehicle Licensing Agency,08/03/2011,Computer Equipment Service Charge,Finance & Strategy,IBM UNITED KINGDOM LTD,2000459226,888.38
Department for Transport,Driver and Vehicle Licensing Agency,08/03/2011,IBM Stage Payments,Operations,IBM UNITED KINGDOM LTD,2000463193,"1,644.06"
Department for Transport,Driver and Vehicle Licensing Agency,08/03/2011,IBM Stage Payments,Operations,IBM UNITED KINGDOM LTD,2000459226,"5,226.12"
Department for Transport,Driver and Vehicle Licensing Agency,08/03/2011,IBM Stage Payments,Operations,IBM UNITED KINGDOM LTD,2000459226,"13,294.65"
Department for Transport,Driver and Vehicle Licensing Agency,08/03/2011,IBM Stage Payments,Operations,IBM UNITED KINGDOM LTD,2000463193,"19,620.77"
Department for Transport,Driver and Vehicle Licensing Agency,08/03/2011,IBM Stage Payments,Operations,IBM UNITED KINGDOM LTD,2000463193,"30,756.91"
Department for Transport,Driver and Vehicle Licensing Agency,08/03/2011,IBM Stage Payments,Operations,IBM UNITED KINGDOM LTD,2000463193,"35,581.99"
Department for Transport,Driver and Vehicle Licensing Agency,08/03/2011,Project Developments,Information Services,IBM UNITED KINGDOM LTD,2000459226,"44,106.60"
Department for Transport,Driver and Vehicle Licensing Agency,08/03/2011,IBM Stage Payments,Operations,IBM UNITED KINGDOM LTD,2000463193,"51,868.57"
Department for Transport,Driver and Vehicle Licensing Agency,08/03/2011,Computer Equipment Service Charge,Information Services,IBM UNITED KINGDOM LTD,2000459226,"115,983.40"
Department for Transport,Driver and Vehicle Licensing Agency,10/03/2011,Mail Collection/Delivery Costs,Operations,ROYAL MAIL,2000496089,"11,633.13"
Department for Transport,Driver and Vehicle Licensing Agency,10/03/2011,Info Broker Costs,Operations,CENTRAL OFFICE OF INFORMATION,2000496135,"48,372.11"
Department for Transport,Driver and Vehicle Licensing Agency,10/03/2011,Post Office ,Finance & Strategy,POST OFFICE LTD,2000496088,"116,073.00"
Department for Transport,Driver and Vehicle Licensing Agency,10/03/2011,Postage Paid Imprest,Operations,ROYAL MAIL,2000496089,"200,586.53"
Department for Transport,Driver and Vehicle Licensing Agency,10/03/2011,Postage Paid Imprest,Operations,ROYAL MAIL,2000496089,"321,994.11"
Department for Transport,Driver and Vehicle Licensing Agency,11/03/2011,Non Secured stock,Information Services,FT PRINT SOLUTIONS,2000498189,-922.38
Department for Transport,Driver and Vehicle Licensing Agency,11/03/2011,Printing Stock Balances,Information Services,FT PRINT SOLUTIONS,2000498189,322.19
Department for Transport,Driver and Vehicle Licensing Agency,11/03/2011,Non Secured stock,Information Services,FT PRINT SOLUTIONS,2000498189,"40,170.07"
Department for Transport,Driver and Vehicle Licensing Agency,12/03/2011,Purchasing Card Charges,Finance & Strategy,BARCLAYCARD CARD PAYMENTS,2000461095,"1,112,751.58"
