"#","Page","Popularity","Impressions","Sessions","Re-Visits"
"4140","disabled people > en > travelholidaysandbreaks/planningatrip/ dg_4018313 planning to go away : directgov - disabled people",0.00,60,55,0.09
"4141","parents > en > familyissuesandthelaw/ dg_181195 family mediation - real life stories : directgov - parents",0.00,60,54,0.11
"4142","newsroom > en > other  dg_177966 think! campaign targets texting drivers : directgov - newsroom",0.00,60,49,0.19
"4143","motoring > en > learnerandnewdrivers/practicaltest/ dg_173031 driving test vehicle recall: ford fiesta - new shape 1995-1996 : directgov - motoring",0.00,59,49,0.18
"4144","money tax and benefits > en > taxes/beginnersguidetotax/vat/ dg_190915 reduced-rate vat on mobility aids for older people : directgov - money, tax and benefits",0.00,59,45,0.24
"4145","directories > en >  dg_10011075 royal national institute of blind people (rnib) : directgov - directories",0.00,59,53,0.11
"4146","home and community > en > inyourhome/animalsandpets/ dg_178461 updating a horse passport and cancelling duplicates : directgov - home and community",0.00,59,52,0.13
"4147","newsroom > en > other  dg_191509 higher education funding and student funding review published : directgov - newsroom",0.00,59,59,0.01
"4148","directories > en > localcouncils/localgovernmentbyregion/ dg_4003649 local councils in south west england : directgov - directories",0.00,59,33,0.45
"4149","directories > en >  dg_078803 independent safeguarding authority (isa) : directgov - directories",0.00,59,52,0.13
"4150","parents > en > yourchildshealthandsafety/worriedabout/ dg_078769 keeping your child safe from knife crime : directgov - parents",0.00,59,49,0.18
"4151","newsroom > en > other  dg_186640 budget march 2010 - public sector and public spending : directgov - newsroom",0.00,59,50,0.16
"4152","newsroom > en > other  dg_177952 new primary school curriculum proposed : directgov - newsroom",0.00,59,54,0.09
"4153","employment > en > tradeunions/industrialaction/ dg_179248 taking part in industrial action : directgov - employment",0.00,59,49,0.18
"4154","directories > en >  dg_072537 leasehold advisory service (lease) : directgov - directories",0.00,59,54,0.09
"4155","directories > en >  dg_10014501 hm revenue & customs - enquiry centre : directgov - directories",0.00,59,55,0.08
"4156","travel and transport > en > publictransport/taxisandprivatehirevehicles/ dg_10036282 taxi safety : directgov - travel and transport",0.00,59,51,0.14
"4157","directories > en >  dg_070791 employability : directgov - directories",0.00,59,56,0.06
"4158","home and community > en > buyingandsellingyourhome/mobilehousing/ dg_191097 owning a park home - your rights and obligations : directgov - home and community",0.00,58,47,0.20
"4159","home and community > en > inyourhome/animalsandpets/ dg_178464 importing and exporting a horse - when you need a horse passport : directgov - home and community",0.00,58,49,0.16
"4160","newsroom > en > other  dg_073358 england-wide free bus pass starts today : directgov - newsroom",0.00,58,54,0.08
"4161","money tax and benefits > en > taxes/beginnersguidetotax/vat/ dg_190913 reduced-rate vat on energy-saving materials : directgov - money, tax and benefits",0.00,58,45,0.23
"4162","newsroom > en > other  dg_182608 directgov video goes live : directgov - newsroom",0.00,58,45,0.23
"4163","home and community > en > councilandhousingassociationhomes/councilhousing/counciltenants/ dg_188538 secure council tenancies : directgov - home and community",0.00,58,50,0.15
"4164","disabled people > en > financialsupport/ dg_10023130 incapacity benefit - personal capability assessment : directgov - disabled people",0.00,58,48,0.18
"4165","employment > en >  dg_78 employment : directgov",0.00,58,56,0.04
"4166","directories > en >  dg_10015218 crown prosecution service : directgov - directories",0.00,58,48,0.18
"4167","employment > en > jobseekers/programmesandservices/ dg_177456 getting help with drug problems that prevent you working : directgov - employment",0.00,58,55,0.06
"4168","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185407 broken limbs and driving : directgov - motoring",0.00,58,49,0.16
"4169","government citizens and rights > en > other  dg_186370 the roles and duties of an attorney under a lasting power of attorney : directgov - government, citizens and rights",0.00,58,48,0.18
"4170","caring for someone > en > carehomes/ dg_10031408 your care home, your pets and your personal belongings : directgov - caring for someone",0.00,58,51,0.13
"4171","government citizens and rights > en > other  dg_186377 concerns about a person's mental capacity : directgov - government, citizens and rights",0.00,58,48,0.18
"4172","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185731 retinal treatment and driving : directgov - motoring",0.00,58,55,0.06
"4173","newsroom > en > other  dg_173049 baby p report : directgov - newsroom",0.00,58,56,0.04
"4174","do it online > en >  dg_10016001 apply for planning permission online : directgov - do it online",0.00,58,50,0.15
"4175","employment > en > tradeunions/industrialaction/ dg_10027549 picketing and picket lines : directgov - employment",0.00,58,46,0.21
"4176","directories > en >  dg_10012002 office of public sector information (opsi) : directgov - directories",0.00,58,51,0.13
"4177","directories > en >  dg_10011264 vosa test station - beverley : directgov - directories",0.00,57,47,0.18
"4178","do it online > en >  dg_4018166 get the latest foreign travel advice : directgov - do it online",0.00,57,50,0.13
"4179","environment and greener living > en > thewiderenvironment/protectingwildlife/  protecting wildlife : directgov - environment and greener living",0.00,57,42,0.27
"4180","money tax and benefits > en > taxes/beginnersguidetotax/vat/ dg_190901 paying vat if you export a personal vehicle : directgov - money, tax and benefits",0.00,57,52,0.10
"4181","travel and transport > en > cycling/ dg_190030 getting your bike ready to ride : directgov - travel and transport",0.00,57,55,0.04
"4182","environment and greener living > en > energyandwatersaving/ dg_064370 water: using less at home : directgov - environment and greener living",0.00,57,54,0.06
"4183","environment and greener living > en > greenerhomeandgarden/  greener home and garden : directgov - environment and greener living",0.00,57,45,0.22
"4184","other directgov subsite > en > other  dg_172617 budgeting and your finances : directgov - real help now",0.00,57,48,0.17
"4185","environment and greener living > en > energyandwatersaving/renewableandlowcarbonenergy/ dg_072632 water power : directgov - environment and greener living",0.00,57,52,0.10
"4186","travel and transport > en > cycling/ dg_4018700 where you can use your bike : directgov - travel and transport",0.00,57,51,0.11
"4187","directories > en > usefulcontactsbycategory/parentscontacts/ dg_172263 preschool contacts : directgov - directories",0.00,57,45,0.22
"4188","directories > en >  dg_10011947 european parliament : directgov - directories",0.00,57,53,0.08
"4189","employment > en > understandingyourworkstatus/agriculturalworkers/ dg_179664 agricultural workers' holiday leave : directgov - employment",0.00,57,51,0.11
"4190","home and community > en > inyourhome/animalsandpets/dogs/  dogs : directgov - home and community",0.00,57,37,0.36
"4191","crime justice and the law > en > victimsofcrime/ dg_184671 your rights as a witness : directgov - crime and justice",0.00,57,49,0.15
"4192","newsroom > en > other  dg_191306 get britain working : directgov - newsroom",0.00,57,51,0.11
"4193","government citizens and rights > en > other   the uk and the world : directgov - government, citizens and rights",0.00,56,40,0.29
"4194","education and learning > en > qualificationsexplained/ dg_186148 foundation degrees: real-life stories : directgov - education and learning",0.00,56,52,0.08
"4195","environment and greener living > en > greenerhomeandgarden/greenerlabelsandclaims/ dg_064878 recycling and packaging labels : directgov - environment and greener living",0.00,56,46,0.19
"4196","home and community > en > councilandhousingassociationhomes/rentarrearsandeviction/ dg_188690 being evicted from your council home - introductory tenants : directgov - home and community",0.00,56,49,0.13
"4197","travel and transport > en > publictransport/taxisandprivatehirevehicles/ dg_187322 hiring stretch limos or minibuses with drivers : directgov - travel and transport",0.00,56,52,0.08
"4198","directories > en >  dg_10015195 assets recovery agency : directgov - directories",0.00,56,48,0.15
"4199","education and learning > en > 14to19/courseworkandexams/ dg_066179 coursework: what to expect : directgov - education and learning",0.00,56,43,0.24
"4200","directories > en >  dg_10011335 tv licensing : directgov - directories",0.00,56,51,0.10
"4201","pensions and retirement planning > en > statepension/dg_183779?backtopage=http://www.direct.gov.uk/ dg_183779 what will your state pension be worth when you retire? : directgov - pensions and retirement planning",0.00,56,50,0.12
"4202","government citizens and rights > en > other  dg_176385 court of protection hearings, visitors and deputies : directgov - government, citizens and rights",0.00,56,44,0.22
"4203","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185783 sleepiness (excessive daytime) and driving : directgov - motoring",0.00,56,46,0.19
"4204","newsroom > en > other  dg_190870 six months to go to the 2011 census : directgov - newsroom",0.00,56,52,0.08
"4205","newsroom > en > other  dg_188511 budget june 2010 - the economy : directgov - newsroom",0.00,56,48,0.15
"4206","newsroom > en > other  dg_191349 videos: gangs and your child : directgov - newsroom",0.00,56,49,0.13
"4207","pensions and retirement planning > en > homeandcommunity/supportedhousingandcarehomes/ dg_10026633 guide to care homes for over 50s : directgov - pensions and retirement planning",0.00,56,49,0.13
"4208","government citizens and rights > en > other  dg_066800 organ donation : directgov - government, citizens and rights",0.00,55,44,0.21
"4209","government citizens and rights > en > other  dg_175625 changing a birth record following a gender change : directgov - government, citizens and rights",0.00,55,54,0.03
"4210","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185678 memory problems (severe) and driving : directgov - motoring",0.00,55,37,0.33
"4211","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/ifthingsgowrong/overpayments/ dg_173326 how to avoid being paid too much or not enough tax credits : directgov - money, tax and benefits",0.00,55,49,0.12
"4212","home and community > en > inyourhome/pestandweedcontrol/ dg_172742 dealing with problems caused by foxes : directgov - home and community",0.00,55,51,0.08
